Date,Close,High,Low,Open,Volume,AZ,HP,QA,EP,ZP,HD,SQ,YP,YU,OD,TP,CP,KK,XL,XA,YB,BQ,XC,PD,BK,DH,AK,NI,CC,DR,RO,AG,GR,LS,MU,LG,KI,AI,SH,AT,IN,YJ,MG,PC,CD,IF,IH,PG,AD,FZ,AH,OK
2026-08-24,590.0,610.0,555.0,575.0,25293600,-0.7078,0.0113,0.0064,-0.1595,-0.201,-0.0023,0.0713,-0.2666,-0.0202,0.4483,0.0084,0.0092,0.0561,0.9621,0.0851,-0.1265,0.0921,0.1313,-0.2264,-0.4987,-0.0013,0.1396,0.1583,-0.2155,0.0619,0.0661,-0.1104,-0.1165,-0.009,0.0,-0.0063,0.0102,-0.0493,-0.0002,-0.0043,0.3113,-0.0309,0.0669,0.0,0.12,0.0,0.001,-0.0833,0.0001,0.001,0.0214,-0.003
2026-08-26,565.0,595.0,560.0,590.0,11269800,0.0054,-0.0027,0.0006,0.1186,-0.0248,-0.001,-0.0042,0.5257,0.0071,0.0707,0.1773,-0.0201,0.059,-1.0,-0.002,0.0294,0.1735,-0.0007,-0.0344,0.0826,0.0175,-0.2926,0.1539,-0.1969,-0.0495,0.0043,0.0011,0.0007,0.0,0.0,-0.0065,-0.0006,0.0343,0.0001,0.0083,0.0,0.1716,-0.0702,0.0014,0.057,0.0433,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-27,590.0,590.0,550.0,565.0,9147700,-0.0028,-0.0012,-0.0003,0.0839,0.0307,0.0034,0.0633,-0.2176,-0.0029,0.0882,0.0292,-0.0414,0.0153,-0.7278,-0.0067,0.0073,-0.1633,-0.063,0.0082,0.3959,-0.0513,1.1,-0.0138,0.2048,0.1016,-0.0002,-0.0015,-0.1798,0.0017,0.0058,-0.0001,-0.0013,-0.3772,-0.0002,0.0002,-0.2905,-0.0123,0.0153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,585.0,595.0,575.0,590.0,3683500,0.0076,-0.234,-0.0042,0.0056,0.0163,-0.0038,0.043,0.1648,-0.0015,0.2392,-0.0021,0.0108,-0.005,-0.0897,-0.0551,0.0303,0.0659,0.0336,0.0215,0.0854,0.003,-0.0381,0.0032,-0.3464,0.0498,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
