Date,Close,High,Low,Open,Volume,NI,ZP,KI,YP,MG,SQ,AZ,XL,CP,CC,KK,YJ,BQ,PD,OD,RO,XC,YB,AT,DR,LG,QA,HP,YU,EP,DH,XA
2026-08-24,76.0,81.0,72.0,80.0,2000700,-0.0001,0.0,-0.0,0.0036,0.0021,-0.004,0.0013,0.0206,-0.0153,-0.0001,-0.0023,0.0,0.0141,-0.0019,0.0044,0.0,-0.0233,0.0,0.001,-0.001,0.0,0.0001,0.0,0.0,0.0008,0.0001,-0.0001
2026-08-26,82.0,82.0,74.0,74.0,3088200,-0.0015,0.0,0.0004,0.011,-0.0159,0.0,0.0001,0.0142,-0.0366,0.0012,-0.0146,0.0,0.0,0.0008,0.0001,0.0001,0.0332,0.0002,0.0093,0.0,0.0,-0.0,0.0003,-0.0,-0.0023,0.0,0.0
2026-08-27,81.0,85.0,78.0,83.0,3334800,0.0271,0.0001,-0.0004,0.0047,0.0,0.0,-0.0001,-0.0747,0.1231,0.0313,-0.0001,0.0,0.0,-0.0031,-0.0041,-0.0001,-0.093,-0.0003,-0.0101,0.0,-0.0014,0.0011,0.0,0.0,0.0,0.0,0.0
2026-08-28,79.0,84.0,77.0,81.0,7319300,0.0135,0.0001,0.0,0.0112,0.0005,0.0002,0.0001,-0.0426,-0.0314,-0.0069,0.0002,0.0005,-0.0009,0.0,0.0001,-0.0001,0.0554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
