Date,Close,High,Low,Open,Volume,TP,SS,YB,XL,HD,KZ,KK,DH,YU,IF,QA,AI,XA,BB,YP,CC,DX,BQ,PD,GR,OD,XC,AK,DR,DP,LG,NI,AZ,SQ,CP,EP,BK,RO,ZP,BS,LS,FZ,KI,PC,MU,SA,MG,AT,ZR,FS,YJ,HP,AO,IU,AG,CD,RS,PO,DU,AR,MI,IN,EL,RB,DD,RX,SF,ID,TS,IT
2026-08-24,4200.0,4220.0,4170.0,4220.0,86046100,3.3,0.0,0.0,-19.2,0.4715,-17.7,-4.9,-1.2,24.2,3.4,0.0784,0.3384,-2.7,-2.2,3.6,-20.6,-0.1255,0.8181,-2.3,4.2,-3.7,-8.3,-9.7,-0.3203,0.0,3.6,12.8,-0.5238,3.3,1.1,1.2,7.0,-0.6202,11.8,0.0,0.0,0.0,4.2,-0.0524,-0.0046,-0.0125,0.0,0.2106,1.3,0.0,0.5123,0.5434,0.0,0.0,0.9671,0.0,0.0,0.0,0.0,-0.1257,0.0,3.1,0.0,-0.0008,0.0,0.0,-0.0008,-0.0084,2.1,0.0838
2026-08-26,4160.0,4190.0,4150.0,4190.0,156162500,4.1,0.0,-1.4,-32.4,1.7,53.1,-3.9,5.2,-19.4,-6.3,-0.5993,-1.4,-3.8,-42.0,-11.5,34.5,2.6,0.0,-19.5,-0.5447,-28.4,-10.3,-3.4,-2.8,0.0,8.3,-14.2,11.6,-5.6,-11.8,0.2228,41.6,0.0,33.2,0.0,0.1642,0.0,-0.6231,0.0,0.0063,0.0,-7.9,0.2188,0.0052,-1.6,0.0,-2.2,0.0,0.0,-4.0,4.8,0.0416,0.052,0.025,0.1664,2.0,4.2,0.0832,-1.1,0.0079,31.0,0.0,0.0,0.0,0.0
2026-08-27,4210.0,4210.0,4130.0,4140.0,66036800,-1.1,0.0,0.0425,1.1,-1.7,0.1198,-0.0226,-3.6,10.1,-0.272,0.0384,0.0207,0.9051,-12.3,-6.0,-33.1,-0.0707,0.2645,-0.1996,0.253,2.6,-5.3,27.8,0.9068,0.0,4.5,-1.3,-0.0786,-3.8,-6.6,-0.5167,7.4,-0.2609,22.9,-0.0627,0.0004,-2.1,-0.2399,0.0008,-0.2512,0.1676,2.1,-0.1476,-0.0918,0.0,-1.9,1.4,0.0008,0.0021,-1.7,0.1583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,4250.0,4260.0,4200.0,4220.0,111542000,-8.4,0.0528,-1.9,-42.2,-2.6,-8.5,-7.8,-3.0,-9.3,4.8,0.0046,-21.4,-6.4,-5.5,-21.5,-45.4,-2.8,-6.8,-7.0,-6.9,-16.8,-12.1,41.0,-2.9,0.3495,-3.7,-8.3,-5.9,-8.8,0.1279,-1.9,104.4,1.0,125.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
