Date,Close,High,Low,Open,Volume,NI,AI,MG,XL,CC,PD,RS,XC,SQ,DH,YU,EP,OK,SA,YP,RF,KK,CP,BQ
2026-08-24,10450.0,10625.0,9700.0,9900.0,31000,-0.0021,0.0,0.0,0.0519,0.002,-0.003,0.1244,-0.005,-0.005,-0.0011,0.0218,-0.0021,-0.1012,0.0,-0.0202,-0.002,-0.0575,-0.001,0.0
2026-08-26,9850.0,10175.0,9800.0,10100.0,27800,0.0,0.0,0.0,0.132,-0.0089,0.001,0.0493,0.0109,0.0198,0.001,0.0001,-0.001,-0.1694,0.0,-0.0347,0.0,0.0,0.0,0.0
2026-08-27,9800.0,10000.0,9800.0,9850.0,27400,0.0284,0.0029,0.0,0.0008,0.0,-0.0089,0.1329,0.0098,0.001,0.001,-0.0,-0.002,-0.204,0.038,0.0,0.0,0.0,0.0,0.0
2026-08-28,9950.0,9950.0,9750.0,9925.0,4100,-0.013,-0.003,0.001,-0.0108,0.0039,0.001,0.0298,-0.008,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
