Date,Close,High,Low,Open,Volume,AK,TP,YB,MG,XL,KK,SH,FS,DR,DH,QA,ZP,YP,CP,TF,CC,EP,CD,BQ,PD,GR,XC,OD,BK,RO,SQ,NI,XA,AZ,AT,YJ,HP,YU,IF,DX,LG,AI
2026-08-24,670.0,700.0,655.0,685.0,1286200,0.0676,0.0034,-0.0057,0.0098,0.0984,-0.0006,0.0114,0.0007,0.0,-0.0016,0.0003,0.0007,0.0155,-0.3804,0.0,0.0854,0.0,0.0,0.0,0.0083,-0.0003,0.0257,-0.0541,-0.0,-0.0067,0.1011,0.0115,0.0033,0.0018,-0.0034,0.0,0.0,0.0013,0.0,0.0013,0.005,0.0004
2026-08-26,640.0,675.0,640.0,670.0,1162500,0.0507,-0.0013,-0.0103,0.0462,-0.0829,0.0001,-0.0031,0.0013,0.0,0.0653,-0.0015,0.0013,-0.0288,-0.1974,0.0,-0.0252,0.0165,0.0,0.0001,0.0005,0.0,-0.0279,0.0419,0.0003,0.0073,0.1366,-0.0034,0.0026,0.0008,0.0013,-0.0001,-0.0001,0.0016,0.0009,0.0066,0.0,0.0
2026-08-27,670.0,670.0,615.0,620.0,815000,0.0203,-0.0014,-0.0316,0.0,0.133,0.0173,0.0117,-0.0,-0.0115,-0.0644,0.0,-0.0,0.0054,-0.0095,0.0,0.0043,0.0,0.0,-0.0011,-0.0001,-0.0158,-0.0106,-0.0399,0.0075,-0.015,-0.003,0.0002,-0.0023,0.0067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,675.0,685.0,650.0,670.0,1201900,0.0051,-0.0014,0.0037,-0.0179,-0.1529,0.0001,-0.0128,-0.0014,0.0007,-0.0239,0.0001,-0.0014,-0.0121,-0.1908,0.0015,0.1688,0.0017,0.0001,-0.0014,-0.0017,-0.0377,-0.0104,-0.0056,-0.0074,0.0102,0.2865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
