Date,Close,High,Low,Open,Volume,AZ,AK,CC,KK,YP,SQ,DR,XC,XL,PD,TP
2026-08-24,2630.0,2700.0,2620.0,2700.0,2000,0.0,0.0,0.0,0.0,0.0,0.001,-0.0005,0.0003,-0.0018,-0.0003,0.0013
2026-08-26,2600.0,2690.0,2600.0,2630.0,1900,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,-0.0005,0.0,0.0
2026-08-27,2600.0,2600.0,2600.0,2600.0,1800,0.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0047,0.0,0.0
2026-08-28,2610.0,2780.0,2600.0,2700.0,15900,-0.0003,-0.0003,0.0053,0.0003,0.0003,-0.0011,-0.0039,-0.0039,0.0036,0.0,0.0
