Date,Close,High,Low,Open,Volume,CP,XL,HD,ZP,DX,PD,XC,DH,YP,AI,NI,CC,DR,KK,XA,QA,AZ,HP,GR,YU,LG,TP,MG,AG,EP,KI,AT,BQ
2026-08-24,190.0,197.0,189.0,196.0,726100,0.0,0.0205,-0.0001,0.0066,0.0,0.0162,0.028,0.0,0.0008,-0.0005,0.0003,-0.0115,0.0,0.0047,0.0001,0.0,-0.0685,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0034,0.0018,0.005,0.0
2026-08-26,186.0,189.0,184.0,189.0,621800,0.0046,0.0443,0.0,0.0007,0.0,-0.0003,0.0049,0.0093,-0.0272,0.002,0.0006,-0.023,0.0,0.0004,0.0,0.0,0.0,0.0001,0.0002,0.0009,-0.0269,-0.0,0.0094,0.0,0.0,0.0,0.0,0.0
2026-08-27,187.0,188.0,185.0,185.0,584600,0.0,0.0464,-0.0001,-0.0014,0.0,0.0194,-0.0002,0.0,-0.0658,0.0,-0.0001,-0.0092,0.0,-0.0006,0.0006,0.0111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,187.0,189.0,185.0,188.0,601000,-0.0045,-0.007,0.0002,-0.0005,-0.0001,-0.022,-0.0123,-0.0093,0.0686,-0.0017,0.0024,0.0009,-0.0148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
