Date,Close,High,Low,Open,Volume,AD,TP,YB,XL,HD,LS,KK,ID,DH,YU,QA,FZ,IF,AI,KI,XA,YP,AF,CC,DX,BQ,PD,GR,OD,XC,AK,RB,MG,AT,RF,YJ,DR,HP,AO,LG,NI,AZ,SQ,CP,EP,AG,CD,RO,ZP,BS,JB,RS,IN,PG,GI,IH,IU,TF
2026-08-24,386.0,386.0,306.0,310.0,65027600,0.0,0.9604,0.0704,-0.5744,-0.0279,0.0,-0.1831,-0.0075,-0.0668,-0.4255,0.005,0.0,0.0,-0.0099,0.0,0.0161,-0.1725,-0.1112,-0.8088,-0.0095,0.0228,-0.5418,-0.0988,-0.0407,-0.1397,0.459,0.0,2.7,-0.0274,-0.0094,0.0086,0.3844,0.0008,-0.0214,-0.0423,-0.0741,-0.009,-0.0472,0.1762,-0.2436,-0.0405,0.0,0.0,-1.1,0.0,0.0,0.0055,0.0638,0.0004,0.0,0.0,0.0,0.0
2026-08-26,422.0,466.0,388.0,404.0,106085600,0.0,0.891,0.0166,2.6,-0.0044,-0.0044,0.0247,-0.0028,-0.0333,-0.5573,0.0032,0.0,0.0033,0.0028,0.0038,0.0136,0.2068,0.0866,1.4,-0.0035,-0.0197,-1.3,-0.1715,0.1022,0.2917,-0.6007,0.0,-3.1,0.0016,-1.6,0.0178,0.0266,0.0094,-0.0529,-0.0141,0.0843,1.5,0.5656,-0.2362,-0.019,-0.0024,-0.0091,0.0006,-0.0026,0.0194,-0.0003,-0.0061,-0.1259,-0.0004,-0.0,0.0248,0.0002,-0.0012
2026-08-27,422.0,422.0,422.0,422.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-28,418.0,422.0,370.0,420.0,21246100,-0.0002,1.2,0.0511,0.1918,-0.0004,0.0021,0.0481,-0.0003,-0.0027,-1.1,0.0026,0.001,-0.0043,-0.0175,0.0012,-0.0194,-0.2425,-0.001,0.2846,-0.0063,0.0255,-0.3153,-0.0139,-0.0089,-0.0283,-0.0487,-0.0001,-0.0435,-0.0139,0.0042,0.0049,-0.0147,0.0033,-0.0,0.0324,0.1051,0.0096,-0.0587,-0.0354,0.0014,0.0029,0.0,-0.0002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
