Date,Close,High,Low,Open,Volume,TP,YB,XL,LS,KK,DH,QA,IF,AI,XA,KI,ZP,YP,CC,MI,BQ,PD,GR,OD,IN,XC,AK,ES,BR,MG,AT,ZR,YJ,DR,HP,GI,AO,LG,PI,NI,AZ,CP,EP,AG,CD,BK,RO,SQ,SF,YU,FZ,DU,PO,PC,DX,SA,YO,PG,IU,RG,HD,ID,AR,OK,MU,FS
2026-08-24,103.0,105.0,101.0,103.0,128323100,0.0126,-0.0304,-1.8,0.1521,0.1444,0.5602,0.0129,-0.0344,-0.0309,0.0003,0.0011,0.0322,0.7776,-0.7218,-0.0047,-0.0059,-0.1599,-0.8588,-0.0446,-0.3884,-0.268,-0.3683,0.0,0.0,-0.024,0.0021,0.0,0.0789,0.1122,-0.0012,0.0,0.0011,3.0,0.0,-0.1665,-0.1276,-0.1271,0.0008,0.0,0.0,-0.008,-0.0027,0.3301,0.0,-0.105,0.0,0.0,0.001,0.2375,0.0041,0.0,0.0,0.0102,0.0,0.0005,-0.0103,0.0,0.0,0.0,-0.103,-0.0083
2026-08-26,98.0,103.0,98.0,103.0,144674400,0.342,-1.3,0.143,0.0515,-0.1134,0.6007,0.0514,0.005,0.0,-0.0011,0.0053,-0.1873,-0.047,-0.1097,0.0,-0.0545,0.8821,0.4559,0.1002,-1.8,0.5517,-0.0516,0.0,0.0,-0.0937,0.0123,0.0,0.1892,-0.1143,-0.0304,0.0,0.0201,-0.0786,0.0,0.0418,0.1803,0.1566,0.0722,0.0,0.0,0.0,0.0,-0.1248,0.0,-0.1232,0.0094,0.1,0.0,0.1671,-0.0259,0.0597,0.0,0.0,-0.0075,0.0,0.01,0.02,0.0049,-0.003,0.0,0.0
2026-08-27,100.0,101.0,96.0,97.0,118041600,0.0093,-0.3846,0.1885,-0.1486,-0.0002,-0.2055,0.01,-0.0063,0.0295,0.0691,-0.0001,0.13,0.1499,0.0478,-0.0011,0.055,0.0815,-0.8669,0.069,-0.5,-0.1548,0.9768,0.0,0.0,-0.0771,0.003,0.045,-0.017,-0.0961,0.001,0.0,0.0,-0.0065,0.0,0.0921,0.0029,0.3259,-0.0376,-0.0002,0.0,0.0673,-0.0073,0.4693,0.0002,-0.0779,0.0097,-0.1,-0.002,0.0021,-0.0194,-0.1098,-0.0006,-0.0146,-0.0024,0.0015,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,100.0,102.0,99.0,101.0,103145900,-0.0222,0.0724,0.1781,-0.0016,0.1872,0.0961,0.0043,-0.0001,-0.0206,0.0128,0.0034,-0.3409,0.171,0.8138,-0.004,-0.0002,-0.0374,0.64,0.0159,-0.004,-0.0735,-0.1992,0.0404,0.101,0.0868,0.0,0.035,-1.1,-0.0015,0.0331,0.0,-0.3037,0.0281,0.0052,-0.0933,-0.3347,-0.0575,0.0483,0.0,0.0001,-0.0686,0.0007,0.0445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
