Date,Close,High,Low,Open,Volume,LG,HD,PD,AT,CP,RO,BQ,HP,ZP,NI,EP,SQ,DR,XL,ES,YB,CD,MG,YU,AZ,KI,AK,GR,CC,AG,DX,YJ,KK,YP,XA,DH,OD,XC,TP,AI,QA,IF,BK,IN,EL,PG,MI,LS
2026-08-24,525.0,545.0,525.0,545.0,12420700,-0.1831,0.0,-0.012,0.0005,0.0091,-0.011,0.0107,0.0106,-0.0899,0.0916,0.0175,0.0885,0.0641,-0.4621,0.0,-0.0486,0.0068,0.0,-0.005,0.0159,0.0012,-0.406,0.0648,0.6393,0.0,0.0023,-0.0144,0.0443,-0.0783,0.0001,-0.0701,-0.1078,0.428,-0.0275,0.0053,0.0053,0.0042,0.0,0.0003,0.0,0.0007,0.005,-0.0001
2026-08-26,510.0,525.0,510.0,525.0,15202100,-0.0406,0.0036,0.0282,0.0013,-0.7705,0.0083,-0.0469,-0.0092,-0.0048,-0.0182,-0.0033,0.3211,0.0113,0.7967,0.0051,-0.206,-0.0096,0.1697,0.0052,0.0239,0.0026,-2.1,0.004,-0.4472,0.0,0.1327,0.0108,-0.0677,0.9596,0.0025,0.3176,0.0484,0.5812,-0.001,0.0026,0.3023,0.0146,0.0002,-0.0004,0.0001,0.0,0.0,0.0
2026-08-27,520.0,525.0,505.0,505.0,11278800,-0.0742,0.0073,-0.1767,-0.0056,-0.0751,0.0033,-0.0033,0.0,-0.7151,0.0865,0.0148,0.0473,0.0073,-0.1397,-0.0053,-0.0979,-0.037,-0.0145,0.0025,-0.0276,-0.0032,0.5693,0.028,0.3161,0.0001,0.0003,-0.0099,-0.1219,1.1,0.013,0.0054,-0.3342,-0.4455,0.0026,0.001,0.0001,-0.0007,0.0862,0.0,0.0,0.0,0.0,0.0
2026-08-28,520.0,525.0,515.0,520.0,12207000,0.9292,-0.003,0.1445,0.0058,0.0031,0.0046,-0.0062,0.0001,0.0009,0.0611,-0.018,-0.4412,-0.0116,-1.1,0.0026,-0.0332,-0.0052,-0.0524,0.0053,0.3057,0.0003,-0.0565,0.5227,0.5237,-0.0,-0.0884,0.0129,-0.036,-0.3981,0.0003,0.1242,-0.0019,-0.3695,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
