Date,Close,High,Low,Open,Volume,AG,HP,QA,GR,LS,YP,LG,OD,CP,XA,PG,AD,PD,DH,NI,CC,RO,AZ,ES,EP,ZP,HD,SQ,KI,AI,YU,DU,SH,TP,AT,KK,XL,YB,DX,BQ,XC,YJ,AO,IF,DR,MG,MI,RG
2026-08-24,99.0,103.0,96.0,98.0,12747000,-0.0,0.0,0.0001,-0.0251,-0.0,0.0096,-0.0298,-0.0541,0.2576,-0.0002,0.0,0.0,-0.0035,-0.008,0.0006,0.0714,0.0,-0.0246,0.001,-0.0023,-0.0299,0.0099,-0.0043,-0.0034,0.0,0.0,0.0,0.0,0.0,0.0028,0.0144,-0.293,-0.0005,-0.0,0.1203,0.0029,0.0,0.0,0.0015,0.0,-0.0134,0.0,-0.0
2026-08-26,99.0,101.0,98.0,100.0,4738400,0.0,0.0,0.0,0.0,0.0,0.0418,-0.0397,-0.0053,0.0966,-0.0087,0.0,0.0,-0.0478,0.0089,-0.0009,-0.031,0.0,0.0298,0.0,0.0,-0.0166,-0.0,-0.0008,0.0013,0.0,0.0,0.0,0.0,0.0,-0.0008,-0.0533,0.0102,-0.0048,-200.0,0.0087,0.007,0.0,0.0,0.0004,-0.001,0.0061,0.0,0.0
2026-08-27,103.0,105.0,98.0,99.0,15235900,0.0,0.0,0.0011,-0.1643,0.0,-0.0431,0.0,0.0125,0.1447,-0.0002,0.0,0.0,-0.1363,-0.0028,-0.0899,0.0728,0.0,-0.0236,0.0,0.0022,0.1334,-0.0,-0.0078,-0.0013,0.0,0.0013,0.0,0.0,0.0,0.004,-0.0529,0.1228,0.0242,0.0,0.0021,0.0059,0.0,0.0,-0.001,-0.0001,-0.0026,-0.001,0.0
2026-08-28,118.0,126.0,103.0,103.0,170398400,-0.0071,-0.0116,0.0016,0.0256,-0.0,0.038,-0.0039,-0.027,-0.6568,-0.1134,-0.0,0.0003,0.023,0.0274,-0.1255,-0.1618,-0.0027,0.033,-0.0011,-0.0713,-0.0289,-0.0112,-0.0172,0.0248,0.0003,-0.4847,-0.0029,-0.0116,0.0529,0.007,-0.1554,1.6,0.048,0.0008,0.0583,-0.0201,-0.0054,0.29,-0.0122,-0.3149,0.0338,0.0,0.0
