Date,Close,High,Low,Open,Volume,SF,AI,PD,BQ,RO,ZP,NI,SQ,EP,DR,XL,ZR,MG,YU,CC,KK,YJ,YP,OD,XC,LS,LG,CP,TF,PC,QA,CD,YB,EL,AZ,KI,GR,AG,XA,DH,BR,HP,IH,AT,IF
2026-08-24,492.0,492.0,404.0,408.0,6351000,-0.0821,0.0116,-0.2934,-0.0016,0.0119,0.0,-0.005,-0.0444,-0.0041,0.0022,0.2086,0.0,0.0121,0.0148,0.0019,0.0006,-0.0474,0.0575,0.0016,0.0192,0.0,0.0,0.0296,-0.0409,-0.0491,0.0002,0.0,0.0,0.1962,0.0044,0.0,0.0051,-0.0197,0.0154,-0.0,0.0024,-0.0067,0.0,-0.0001,-0.0011
2026-08-26,615.0,615.0,550.0,550.0,3467700,0.0698,0.0,-0.0008,0.0127,0.0001,-0.5352,-0.0198,0.0024,-0.0046,-0.0029,0.2113,0.0,-0.0146,-0.0032,0.2159,-0.0005,0.0,0.0118,0.0275,0.1035,0.0,0.0,-0.023,-0.0048,0.0001,0.0004,0.0,0.0273,-0.069,-0.0056,0.0103,-0.0007,-0.0003,-0.0024,0.0,-0.0031,-0.0012,-0.0014,0.0,0.0
2026-08-27,675.0,750.0,655.0,670.0,2508300,0.0001,-0.0026,0.0428,0.0074,0.0648,0.0001,-0.0012,0.003,0.0043,0.0002,0.2603,0.0,-0.0,-0.0657,-0.1964,0.004,0.0568,-0.0656,0.011,0.0203,-0.0231,0.0125,-0.0003,-0.002,-0.0001,-0.0007,0.0001,-0.0032,-0.0813,0.0,-0.0097,-0.0001,0.0,-0.0034,-0.0324,0.0,0.0,0.0,0.0,0.0
2026-08-28,700.0,730.0,680.0,700.0,1014300,0.0362,-0.0077,0.0056,0.0961,0.0,-0.0421,-0.0093,-0.0046,-0.007,0.0001,-0.0046,-0.0489,-0.0001,-0.0003,0.0733,-0.001,0.0087,0.0176,-0.0219,-0.0073,-0.0828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
