Date,Close,High,Low,Open,Volume,YU,PD,AZ,CC,KK,YP,YB,DH,SQ,NI,BK,XC,XL,TP,AT,ZP,EP,OD,GR,AK
2026-08-24,214.0,214.0,208.0,210.0,212100,0.0,-0.0,0.0,-0.0132,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,-0.0281,0.0404,0.0,0.0,-0.001,-0.0,0.0021,-0.0002
2026-08-26,214.0,216.0,210.0,214.0,78100,0.0,-0.0,-0.0,-0.0028,0.0,-0.0,0.0,0.0,0.0,-0.0022,0.0,0.0,-0.0077,0.0107,0.0011,-0.0,0.0,0.0001,0.0009,0.0
2026-08-27,214.0,218.0,210.0,214.0,83100,-0.0002,0.0,-0.0,-0.0024,-0.0,0.0,-0.0027,0.0004,0.0003,-0.0,0.0,0.0003,-0.0031,0.0113,-0.0011,0.0005,-0.0032,-0.0002,0.0,0.0
2026-08-28,212.0,218.0,210.0,218.0,99100,-0.0024,-0.0015,-0.0001,-0.0065,0.0,-0.0057,-0.0,0.0002,0.0003,0.0,-0.0001,-0.0007,0.0056,0.0108,0.0,0.0,0.0,0.0,0.0,0.0
