Date,Close,High,Low,Open,Volume,CD,CC,YP,NI,KK,XL,XC,AZ,OD,SQ,AT,AK,EP,XA,CP,GR,PD,BQ
2026-08-24,266.0,270.0,262.0,262.0,33600,0.0,-0.0006,-0.0003,0.0027,0.0,-0.0008,0.0012,0.0,0.0,-0.0,-0.0001,0.0,0.0,-0.0019,0.0005,0.0,-0.0006,0.0
2026-08-26,268.0,270.0,260.0,262.0,16900,0.0,0.0001,0.0,0.0008,0.0,0.0005,-0.0014,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004,0.0,-0.0001,-0.0005,0.001
2026-08-27,266.0,270.0,260.0,268.0,30600,0.0,0.0009,0.0002,0.0,0.0,0.002,-0.0,0.0,0.0,-0.0003,0.0005,-0.0007,-0.0001,-0.0024,0.0,0.0,0.0,0.0
2026-08-28,268.0,268.0,264.0,268.0,9900,-0.0,0.0001,-0.0001,-0.0009,0.0001,0.0022,-0.0001,0.0,-0.0013,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
