Date,Close,High,Low,Open,Volume,YU,YB,CC,NI,DR,KK,XC,AZ,GR,PC,PD,TP,AT,YP,XL,CP,OD,QA,SQ,PG,EP,LG
2026-08-24,1475.0,1510.0,1400.0,1510.0,43400,0.0,0.0046,0.0039,0.0027,-0.0001,0.0,-0.0124,0.0,0.007,0.0,0.0038,0.0,0.0,0.005,-0.0288,0.0,0.0003,0.0,-0.0011,0.0,0.0,0.0151
2026-08-26,1470.0,1495.0,1430.0,1465.0,12600,0.0,0.0,0.0,0.0012,-0.0002,0.0,0.0013,0.0,-0.0028,0.0,0.0057,0.0,-0.0009,0.0024,-0.0053,-0.0,0.0002,0.0,-0.0017,0.0,0.0001,0.0
2026-08-27,1495.0,1650.0,1450.0,1450.0,59600,0.0,-0.0015,0.0459,-0.0041,0.0026,-0.0003,-0.0147,0.0,-0.0121,0.0,-0.0003,0.0,0.0,-0.0007,-0.0098,0.0,0.0001,-0.0002,-0.0049,0.0,-0.0002,0.0
2026-08-28,1535.0,1865.0,1405.0,1495.0,233900,-0.0005,-0.0019,0.0047,0.0012,0.0008,0.0027,0.0253,-0.0322,-0.0176,-0.0001,0.0036,0.0012,0.0002,-0.0012,-0.0176,0.0012,0.0358,0.0,-0.0001,-0.0052,0.0,0.0
