Date,Close,High,Low,Open,Volume,BQ,XC,XL,OD,MG,SQ,PD,AZ,YU,CC,KK,YP,QA,DX,LG
2026-08-24,248.0,252.0,246.0,250.0,64200,0.0,-0.0001,0.012,0.0,0.0,0.0,0.0001,0.0,0.0007,0.0,-0.0002,0.0002,-0.0001,-0.0001,-0.0127
2026-08-26,244.0,252.0,244.0,248.0,1400,0.0,0.0002,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
2026-08-27,246.0,248.0,232.0,244.0,5700,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0003,-0.0009,0.0003,0.0,0.0,0.0,0.0,0.0
2026-08-28,246.0,252.0,232.0,248.0,17200,0.0019,-0.0001,-0.0018,-0.0,-0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
