Date,Close,High,Low,Open,Volume,NI,YP,SQ,XL,CP,TF,CC,DR,PD,XC,OD,LG,EP,GR,DH,QA,XA,MG,BQ,RO,AK,HP
2026-08-24,236.0,248.0,234.0,246.0,304300,-0.0021,-0.0243,0.0001,0.0272,0.0,0.0005,-0.0004,0.0061,0.0001,0.0024,0.0035,0.0012,-0.012,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,-0.0083,0.0056
2026-08-26,236.0,244.0,234.0,236.0,274000,0.0001,0.0009,0.0,0.0001,0.0037,0.001,-0.0036,-0.0002,0.0,0.0023,-0.0042,-0.0005,-0.0007,0.0,0.0,-0.0,0.0,0.0012,-0.0,-0.0001,0.0,0.0
2026-08-27,236.0,240.0,234.0,234.0,113800,0.0005,0.0014,0.0,0.0107,-0.0006,0.0003,0.0,-0.0001,-0.0003,-0.0052,0.005,-0.0,-0.0118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,234.0,240.0,232.0,236.0,356700,0.0032,0.0007,0.0015,0.0368,0.0024,0.0006,0.008,0.0002,0.013,-0.0572,-0.0115,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
