Date,Close,High,Low,Open,Volume,AZ,AG,XL,HP,EP,YB,HD,SQ,XC,PD,YP,NI,CC,OD,MG,AT,KK,DX,GR,FS,BQ
2026-08-24,194.0,197.0,190.0,196.0,394400,0.0,0.0,0.0067,0.0,-0.0002,0.0,0.0003,-0.0034,0.004,0.003,0.0013,-0.0044,-0.0023,0.0077,0.0002,0.0,-0.0132,0.0,0.0,0.0,0.0002
2026-08-26,192.0,195.0,188.0,195.0,881400,0.0276,0.0,-0.0085,0.0,0.0054,0.0,0.0002,-0.0084,-0.0782,0.0015,-0.0056,-0.0074,-0.0268,0.0005,0.0978,0.0,0.0019,0.0,0.0,0.0001,0.0
2026-08-27,195.0,198.0,187.0,192.0,675000,-0.0001,0.0002,-0.0219,0.0,0.0576,0.0,0.0003,0.0,-0.0051,0.0015,-0.0001,0.0,-0.0252,0.0,-0.0016,0.0009,-0.0059,-0.0006,-0.0001,0.0,0.0
2026-08-28,195.0,196.0,191.0,194.0,369900,0.0012,-0.0002,0.0004,0.0,-0.0059,0.0002,-0.0001,0.0098,-0.0008,-0.0001,-0.0002,-0.0,-0.0171,0.0002,0.0127,0.0,0.0,0.0,0.0,0.0,0.0
