Date,Close,High,Low,Open,Volume,YB,AT,XL,HD,KK,DR,LG,DH,NI,YP,CP,CC,EP,DX,BQ,PD,XC,OD,IN,RO,SQ,MG,YJ,PI,QA,XA,AZ,GR,RB,HP,ZP,MU,AG
2026-08-24,68.0,69.0,67.0,68.0,3824200,-0.0014,0.003,-0.0161,0.0005,0.0037,0.0,-0.0002,0.0,0.0033,-0.0065,-0.0745,0.0872,0.0,0.0,0.0023,0.0071,-0.0093,-0.0007,0.0,-0.0007,0.0,0.0,0.0,-0.0,0.0001,-0.0113,0.0,0.0,0.0,0.0,0.0,0.0136,0.0
2026-08-26,67.0,70.0,66.0,68.0,10042600,-0.0813,-0.0014,-0.1065,0.0002,0.0109,0.0,0.004,0.0,-0.0041,0.0373,0.0017,-0.0052,0.0006,-0.0008,-0.0019,0.0478,0.2178,-0.0189,-0.0,0.0,0.0067,-0.0896,0.0,0.0013,0.0,0.0025,-0.0002,0.0,-0.0,-0.005,-0.0026,-0.0134,-0.0
2026-08-27,68.0,69.0,66.0,68.0,3468600,0.0136,-0.0034,0.0998,-0.0005,0.0006,-0.0502,0.0,0.0,-0.001,-0.0083,-0.0461,-0.0084,0.005,-0.0003,0.0007,-0.0048,0.0166,-0.0,0.0,0.0,0.0029,-0.02,0.0,-0.0027,0.0,0.0,-0.0001,0.0064,0.0,0.0,0.0,0.0,0.0
2026-08-28,69.0,70.0,68.0,68.0,3812300,0.0408,-0.0007,-0.0306,0.0002,-0.0038,0.0623,0.0001,0.0,-0.0045,0.0022,0.0073,-0.0062,0.0002,-0.0014,0.0014,-0.0058,-0.0683,-0.0004,-500.0,-0.0,0.0071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
