Date,Close,High,Low,Open,Volume,TP,YB,XL,HD,KK,DH,YU,FZ,IF,AI,XA,QA,KI,GA,BB,YP,ZP,PC,CC,AR,DX,BQ,PD,GR,OD,IN,XC,AK,MG,ZR,YJ,FS,DR,HP,AO,LG,PF,NI,AZ,CP,EP,BK,SQ,II,SH,PO,MU,BR,AT,TS,IH,TF,AG,CD,SF,AF,ES,OK,IU,LS,KZ,PG,RO
2026-08-24,148.0,154.0,148.0,150.0,455038000,-0.9351,0.2018,7.4,-0.0015,0.7008,0.8324,0.0761,-0.0284,-1.2,-3.8,0.0,0.0,-0.0725,0.0,0.0,0.0,0.4172,0.0,-5.5,0.0,0.0,0.084,-0.0513,4.7,-0.2141,0.0979,2.8,-1.7,-0.4718,0.128,0.1627,0.0,0.1939,0.3116,0.3256,0.4721,1.1,0.2415,-6.9,-0.1168,0.4848,-0.8562,1.8,0.0,0.0,0.0,0.0,0.0,0.044,0.0,-0.0196,0.0,-0.1102,-0.0284,0.0745,-0.2067,0.0761,0.0,-0.0198,0.045,-0.8773,-0.0355,0.0532
2026-08-26,137.0,150.0,137.0,148.0,607803800,0.2441,-4.2,2.0,0.0,1.5,-0.0096,0.3844,0.0,0.3116,1.1,2.5,0.0,-0.1016,0.0,0.0,-2.2,-0.4031,0.1127,-1.6,0.0,0.2964,-0.2067,1.5,7.2,0.7636,-0.111,1.2,-8.2,-0.0012,0.0957,0.0,0.0238,0.247,0.1196,-0.0866,-3.2,1.0,-0.4957,0.0,0.0938,-0.6889,0.4723,-0.4475,0.0,0.0,0.0,-0.0078,0.0,-0.11,0.0,0.0,-0.0011,0.2458,0.0,0.0842,0.141,0.1406,0.071,-0.0007,0.0,0.0,0.0,0.0
2026-08-27,151.0,153.0,134.0,135.0,778620000,0.2568,-0.697,-6.0,0.0,-3.6,0.0498,-1.2,0.0309,6.6,-2.5,-0.3558,0.0,0.0,0.3675,0.72,-2.9,-0.5381,0.0,0.5229,0.0,0.0,0.1414,-0.5045,-8.3,-1.1,0.7457,-3.9,25.7,-0.9198,0.0,-2.0,-0.3601,0.0,0.0,-1.8,3.9,-1.0,-0.7769,-0.3296,-0.5921,-0.6995,5.8,-1.4,0.459,0.0135,0.0302,0.0054,0.0247,0.5684,-2.8,-0.27,0.001,-0.2967,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,147.0,153.0,146.0,153.0,408207800,0.2302,0.3893,5.1,0.0777,1.8,-0.0443,0.1608,0.0815,-1.8,0.0605,1.7,-0.0025,-0.9349,-0.216,-0.735,-0.1475,-0.535,0.0842,-5.4,-0.035,-0.2118,0.1239,-0.7408,1.4,1.8,-1.4,3.5,-7.7,-0.4009,0.073,0.1189,0.0735,0.0813,-0.1059,-0.0661,-0.0292,0.588,0.5465,0.1725,0.1747,1.3,0.1129,0.6226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
