Date,Close,High,Low,Open,Volume,MG,YB,CC,HD,NI,KK,XC,GR,PI,AZ,PD,TP,YJ,XA,RO,YP,XL,SQ,KI,BQ,ZP,AK,EP,LG,DH,CP,OD,AI,CD,DR
2026-08-24,70.0,70.0,68.0,69.0,1270300,0.0,0.0,0.0284,-0.0153,0.0001,-0.0007,0.0008,0.0,0.0017,0.0,0.0196,0.0,0.0,-0.0038,0.0,-0.0201,-0.0146,0.0001,0.0,-0.0028,0.0,-0.0054,0.0052,0.0,-0.0002,0.0,0.0063,0.0,0.0,0.0007
2026-08-26,69.0,70.0,69.0,70.0,5276400,0.0,0.0,0.128,0.0283,-0.0016,0.0277,0.0013,0.0,0.0013,-0.0,-0.0217,0.0,0.0,0.0139,-0.0006,-0.0322,-0.0106,-0.0065,0.0,0.0,0.035,-0.0063,-0.0138,0.0,-0.0104,0.0,-0.0007,0.0,-0.007,-0.1241
2026-08-27,68.0,69.0,68.0,69.0,2248600,0.0033,0.006,0.0023,-0.0,0.0002,0.003,0.0017,0.0,0.0025,0.0,0.0207,0.0,0.0027,0.0086,0.0,0.0691,-0.0532,0.006,0.0,0.0,-0.0034,-0.0024,0.0011,0.0007,-0.0068,0.0,0.0068,-0.069,0.0,0.0
2026-08-28,69.0,70.0,68.0,68.0,3458200,-0.0028,0.0284,0.0002,-0.0429,0.0068,0.0051,0.0023,-0.0413,-0.0039,-0.0,0.0036,-0.0,-0.0015,0.0259,-0.0,-0.0362,-0.0355,0.0721,-0.0028,-0.0,-0.0035,0.0033,0.0226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
