Date,Close,High,Low,Open,Volume,YU,MG,AG,CC,HD,NI,MU,DR,XC,AZ,PC,PD,YJ,DH,RB,XA,RO,AT,DX,SA,YP,OD,BR,ZP,YB,LG,KK,LS,GR,TP,IF,XL,CP,HP,QA,AI,SQ,KI,BQ,EP,FZ,TF,SF
2026-08-24,143.0,146.0,142.0,146.0,1678100,0.0,0.0462,0.0,0.0274,0.0,-0.0001,0.0,0.0,-0.012,-0.0022,0.0,-0.0149,0.0,0.0148,-0.0216,0.0005,-0.0,0.0,0.0,0.0,-0.005,0.0083,0.0,0.0035,0.0,0.0035,0.0146,0.0,-0.0,0.0249,0.0,0.0089,-0.0065,0.0,0.0,0.0,-0.0887,-0.0,-0.0008,0.0,0.0,0.0,-0.001
2026-08-26,141.0,144.0,140.0,142.0,1505900,0.0,-0.0641,0.0,-0.0006,0.0077,0.0071,0.0,0.0031,0.0061,0.0,0.0,0.0029,0.004,0.0005,-0.0213,300.0,0.0,0.0,0.0,0.0,0.015,-0.0011,0.0,0.0,0.0,0.0004,-0.0,0.0,-0.0028,0.0,0.0,0.0212,0.0134,0.0,0.0,0.0,0.0071,0.0,-0.0014,0.0028,0.0,0.0,0.0
2026-08-27,143.0,145.0,136.0,141.0,3048200,0.0,-0.0015,-0.0014,0.0539,0.0,-0.0014,0.0,0.0001,-0.0092,0.0,0.0,-0.039,0.0,0.0007,0.0,0.0,-0.0002,0.0,0.0,0.0,-0.0032,0.0132,0.0,-0.034,0.0,-0.0075,0.0044,0.0,0.0,0.0,0.0,0.1447,0.0223,0.0,0.0,0.0,-0.1516,0.0,0.007,0.0039,0.0,-0.0014,0.0
2026-08-28,153.0,164.0,140.0,144.0,73797400,-0.0156,0.5316,-0.0015,-0.0867,-0.0096,-0.0743,0.015,-0.0425,-0.0361,-0.0753,0.0,-0.0472,0.3681,-0.0178,0.0122,0.0137,0.0002,0.0529,0.004,0.0003,-0.1181,-0.0131,0.0004,0.1738,0.0979,0.0037,-0.0081,0.0001,-0.0306,-0.5241,0.0006,0.2303,0.002,-0.0127,0.0029,-0.0012,-0.409,-0.0026,0.072,-0.0554,0.0,0.0,0.0
