Date,Close,High,Low,Open,Volume,QA,HD,SQ,YP,AI,YU,CC,OD,CP,KK,XL,YB,BQ,PD,XC,DH,NI,AO,IF,MG,EP,XA,FZ,AZ,AG,GR,AT,AK
2026-08-24,99.0,102.0,96.0,100.0,2971500,-0.0033,0.0,-0.0,0.0101,-0.0001,-0.0198,0.0378,0.0016,0.0564,0.0,-0.0439,0.0001,0.0042,-0.0018,-0.0389,-0.006,0.0071,0.0,0.0,-0.0075,-0.0101,0.0008,0.0,0.0086,-0.0002,0.0051,-0.0001,-0.0002
2026-08-26,98.0,100.0,97.0,99.0,1195200,0.0,0.0003,0.0027,0.0026,0.0,0.0,-0.0107,-0.0003,-0.0,0.002,-0.025,0.0,0.0022,-0.0,0.0005,-0.001,-0.0051,0.0,0.0,0.022,0.0,-0.0098,0.0196,0.0,0.0,0.0,0.0,0.0
2026-08-27,99.0,100.0,97.0,98.0,714100,0.0001,-0.0003,0.0002,0.0015,0.0,0.0,-0.0141,-0.0011,0.0,-0.0024,-0.0094,0.0,-0.001,0.0129,0.0068,-0.0,0.0,0.0,0.0,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,100.0,102.0,98.0,99.0,1827200,-0.0001,-0.0,-0.0023,-0.0063,-0.0001,-0.0003,-0.01,-0.0002,-0.001,-0.0023,0.067,0.0,0.004,-0.0095,-0.0034,-0.0011,-0.0132,-0.0051,0.0,-0.0163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
