Date,Close,High,Low,Open,Volume,EP,HD,SQ,GR,KI,YP,YU,OD,TP,AT,CP,KK,XL,RB,PD,XC,AK,DH,NI,CC,AZ,AG,LG,BK,DR,HP,YB,PG,BQ,QA,GI,IF,RO
2026-08-24,535.0,540.0,530.0,535.0,1674300,-0.0,0.0,-0.0189,0.0271,0.0,-0.0692,0.0,0.0684,0.0537,0.0344,0.053,-0.5778,0.2312,0.0,0.0828,0.0591,0.0,0.0,0.0536,0.0373,0.0021,0.0002,-0.0267,0.0,-0.0107,0.0,0.0,-0.0001,0.0,-0.0001,-0.0001,0.0001,0.0005
2026-08-26,525.0,535.0,515.0,535.0,2495900,-0.0032,0.0003,-0.0005,0.0051,0.0002,0.1427,0.0,0.1373,0.1334,-0.1439,0.026,-0.3984,0.2847,0.0,0.1079,0.0305,0.0,0.0013,0.0209,0.1489,0.0196,0.0003,0.0011,0.0,0.0,-0.0067,-0.0142,0.0002,-0.4934,0.0,0.0,0.0,0.0
2026-08-27,535.0,535.0,520.0,525.0,597100,-0.0,-0.0005,0.0001,0.0005,0.0001,-0.0744,0.0,-0.0909,-0.0264,-0.0001,0.0,0.0074,-0.0146,0.0,0.0184,0.0158,0.0,0.0052,0.0001,0.0037,0.0054,-0.0003,0.1472,0.0033,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,525.0,535.0,525.0,535.0,1089400,0.0017,-0.0001,0.0025,0.0003,0.0001,0.0042,0.0016,0.0576,0.0001,-0.0001,-0.0029,-0.3924,0.0667,0.0002,0.12,0.0666,0.0059,0.0001,0.0586,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
