Date,Close,High,Low,Open,Volume,AK,TP,YB,MG,XL,KK,DR,AO,DP,LG,DH,YU,IF,NI,XA,KI,YP,AZ,PC,CP,CC,EP,BQ,PD,RG,XC,OD,SQ,GR,AT,YJ,HP,ZP,BK,QA,RO,AI
2026-08-24,310.0,310.0,278.0,286.0,15425100,0.146,0.0,-0.0294,-0.2008,0.0217,-0.0317,-0.0202,-0.15,0.0,1.0,-0.0098,0.0,0.0,-0.9932,-0.09,-0.0286,0.3069,0.0012,0.0,0.0122,0.0811,-0.0053,0.0144,0.04,0.0,0.5263,-0.4992,-0.0102,0.0029,-0.0944,0.0,0.0,0.0,-0.0087,-0.0012,-0.0067,-0.0
2026-08-26,286.0,308.0,284.0,308.0,5455700,0.0456,0.0,0.0037,0.1653,0.1069,0.0277,0.0059,0.0,0.0,-0.0019,0.0,0.0002,-0.0054,-0.5087,0.0241,0.0,0.033,-0.0025,0.0,0.0591,0.0814,-0.0015,-0.0134,0.0408,0.0029,-0.0145,0.0066,-0.0339,-0.0214,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
2026-08-27,294.0,302.0,280.0,280.0,2824000,-0.0484,0.0001,-0.0032,-0.084,0.0196,-0.0254,0.0019,0.0,0.0,0.0001,0.0004,0.0,0.0,-0.0509,-0.0007,0.0027,0.043,0.0012,0.0,0.09,0.0638,0.0027,0.0616,0.023,-0.0,0.0411,-0.0295,-0.1343,-0.0132,-0.0001,0.0325,0.0029,0.0029,0.0002,0.0,0.0,0.0
2026-08-28,294.0,302.0,286.0,296.0,3050900,-0.0493,0.0,-0.0007,-0.0001,0.1103,0.0275,0.0014,0.058,-0.1886,-0.1023,0.0015,-0.0002,0.002,-0.0175,-0.0284,0.0092,0.144,0.0055,0.0001,0.0094,-0.0018,0.0001,0.0432,0.0019,0.003,-0.001,0.0065,-0.0335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
