Date,Close,High,Low,Open,Volume,PO,AK,KI,YP,XL,CC,PD,OD,XC,DH,YU,QA,AI,SQ,BQ,BK,RO,NI,YB,EP,LG
2026-08-24,494.5432739257813,506.4599793215832,494.5432739257813,506.4599793215832,103500,0.0,-0.0024,0.0001,0.0041,-0.0049,-0.0022,-0.0095,0.0008,0.0052,0.0008,0.0,0.0001,-0.0037,0.0021,-0.0,0.0,0.0,0.0051,0.0003,0.0039,0.0002
2026-08-26,506.4599914550781,511.4252854889514,494.54328577378215,494.54328577378215,160900,0.0001,-0.0017,-0.0039,-0.0031,0.0113,-0.0074,0.0144,-0.001,-0.0031,0.0,0.0,0.0001,0.0,-0.0006,0.0,0.0,0.0,-0.005,0.0,0.0,0.0
2026-08-27,498.0,515.0,470.0,498.0,151900,0.0,-0.0,0.0,0.0021,-0.0076,-0.0,-0.0214,0.037,0.0004,-0.0008,-0.0,-0.0003,-0.0075,-0.0017,-0.0001,0.0004,-0.0004,0.0,0.0,0.0,0.0
2026-08-28,490.0,496.0,490.0,496.0,12900,-0.0001,0.0001,-0.0001,0.0016,0.0026,0.0001,-0.0002,-0.0047,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
