Date,Close,High,Low,Open,Volume,NI,YP,SQ,XL,CC,KK,PD,HP,OD,XC,QA,XA,CP,GR,MG,RO,TP,AT,DR
2026-08-24,314.0,320.0,310.0,320.0,15900,0.0001,0.0,-0.0001,0.002,-0.0008,0.0,0.0,-0.0001,0.0,-0.0001,0.0,0.0,0.0,-0.0003,0.0,-0.0002,0.0,-0.0006,-0.0001
2026-08-26,312.0,316.0,306.0,314.0,17300,0.0,0.0003,-0.0001,-0.0,-0.0003,0.0,-0.0005,-0.0001,0.0007,-0.0,-0.0,-0.0013,-0.0002,0.0011,0.0003,0.0001,0.0,0.0,0.0
2026-08-27,312.0,320.0,308.0,320.0,72800,0.0,0.0,-0.0001,0.0111,-0.0008,0.0,-0.0095,-0.0001,0.0,-0.0068,0.0069,-0.0001,-0.0002,-0.0005,0.0,0.0,0.0,0.0,0.0
2026-08-28,310.0,312.0,310.0,312.0,23300,0.0006,-0.0009,0.0003,0.0,0.003,0.0001,-0.003,-0.0001,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
