Date,Close,High,Low,Open,Volume,YP,MG,XL,CP,RF,CC,EP,KK,PD,XC,OD,SQ,QA,XA,ZP,YB,PG,AO,LG,DX,GR,NI,AZ
2026-08-24,218.0,220.0,216.0,218.0,183900,0.0039,-0.0268,0.0166,0.0,0.0,-0.0007,0.0,0.0015,-0.0013,0.0001,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0003,0.0,0.0,0.0005,0.0044
2026-08-26,218.0,228.0,208.0,216.0,1038600,-0.0224,-0.0456,-0.0619,-0.0,0.1298,-0.0002,-0.0043,0.0,0.0,-0.0069,0.0037,0.0003,0.005,-0.0097,0.0,0.0017,0.0147,0.0021,0.0006,-0.007,-0.0,0.0,0.0
2026-08-27,220.0,220.0,214.0,218.0,247600,0.0006,-0.0242,-0.0076,0.0,0.0,0.0005,0.0329,0.0008,-0.0025,-0.002,0.0044,-0.0003,0.0,-0.0008,-0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,216.0,222.0,214.0,218.0,150400,-0.0012,-0.0007,0.0219,0.0007,0.0005,-0.0021,-0.0006,-0.0,-0.0157,-0.0031,-600.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
