Date,Close,High,Low,Open,Volume,CP,AZ,XL,BQ,XC,NI,CC,OD,PD,BK,RO,EP,DH,AT,SQ,AK,GR
2026-08-24,915.0,990.0,915.0,950.0,15200,0.0,0.0,-0.0001,0.0008,0.0004,0.001,0.0023,-0.0005,0.0003,0.0,-0.0001,0.0001,0.0,0.0,-0.0043,0.0007,-0.0007
2026-08-26,905.0,970.0,905.0,920.0,22800,0.0,-0.0003,0.0007,0.0009,0.0002,0.0002,-0.0019,0.0012,-0.0003,0.0,0.0,-0.0001,-0.0006,0.0,0.0,0.0,0.0
2026-08-27,905.0,910.0,870.0,905.0,21400,0.0,-0.0038,-0.0004,0.0001,0.0011,0.0022,-0.0044,0.0047,0.0003,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,890.0,905.0,875.0,905.0,70200,0.0174,0.0001,-0.0262,-0.0004,-0.0011,-0.0,-0.0006,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
