Date,Close,High,Low,Open,Volume,BS,TP,SS,XL,HD,LS,SH,KK,DH,YU,PO,IF,AI,XA,KI,YP,CC,AR,DX,MI,PD,GR,OD,IN,SA,XC,AK,ES,AT,MG,RF,YJ,FS,DR,AO,DP,LG,NI,AZ,SQ,CP,EP,AG,BK,RX,ZP,YB,FZ,DU,GA,PC,BQ,EL,BR,HP,IU,CD,KZ,PG,RG,SF,JB,RB,GI
2026-08-24,194.0,202.0,193.0,199.0,3431299700,-0.0985,2.9,7.8,22.8,-0.7884,2.2,1.6,3.0,-3.1,10.3,0.0,3.7,-0.1277,6.7,-0.7101,22.6,-17.1,0.0,-0.2832,0.0,2.7,4.6,6.2,-1.0,0.0,15.3,-40.5,-0.5376,0.0,-49.0,-0.1754,-9.3,0.0,1.9,-3.2,0.0,-13.4,8.1,15.0,4.5,-21.1,11.4,4.2,-36.9,0.0,3.7,0.0,1.5,0.0,0.0,0.0,0.0,0.0,2.9,2.8,0.0,0.0,21.4,-0.004,0.0,-0.0314,-0.0234,-0.0404,-400.0
2026-08-26,184.0,195.0,184.0,194.0,2738635400,0.0,-2.8,10.7,5.1,-1.9,-0.2977,1.4,-1.4,-0.1158,-0.4544,-0.3544,-3.9,-1.7,0.6507,0.4634,-13.1,21.8,0.0,0.8308,0.0,-4.5,-14.0,0.0,0.0,0.0,10.4,-3.9,2.0,0.7301,-13.7,0.719,5.5,0.0,4.8,0.4222,0.0,-2.8,-3.1,-6.2,17.1,-2.9,0.9869,-5.3,0.6441,0.0,1.8,-3.7,-1.5,0.555,0.385,0.3491,2.7,1.1,-2.9,-1.8,0.3417,0.0,-0.0983,0.4925,-0.1199,0.0,0.0,0.0,0.0
2026-08-27,194.0,194.0,181.0,181.0,2732850200,0.0,-2.9,2.7,11.8,4.7,1.1,-2.8,-10.2,-0.772,15.4,0.3631,-8.6,-6.3,-1.3,0.4922,0.0152,-34.8,0.0364,-0.7025,1.9,3.5,10.6,-1.7,0.0,0.3827,-9.9,55.2,-2.0,-0.7478,3.3,0.0,17.7,0.0,-4.7,1.6,0.0,5.0,-1.1,-26.9,-11.3,-5.0,1.9,-1.2,4.2,0.0,0.0,2.7,1.2,-0.5876,-0.3959,0.0156,-12.5,-1.6,1.9,2.4,-0.4072,-0.8439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,190.0,198.0,189.0,195.0,2901144900,-0.0049,-2.0,3.0,16.7,0.8372,-0.6525,3.9,1.8,-0.2653,22.1,-1.7,-4.4,1.6,4.3,0.662,-5.9,-17.0,-0.4712,3.2,-0.6724,9.1,-0.8608,4.8,0.475,-0.0582,3.4,-39.3,0.5007,0.5885,-5.3,-1.1,1.4,0.6053,0.8729,-0.8007,-0.011,4.3,3.8,-28.9,14.0,3.7,-0.8791,-5.5,-11.0,4.6,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
