Date,Close,High,Low,Open,Volume,KK,AG,XL,SQ,BQ,PD,XC,DH,YP,NI,CC,OD,CP,AZ,HD,GR,YJ,RO,EP,QA
2026-08-24,242.0,244.0,238.0,242.0,137600,-0.0012,0.0,0.0105,0.0,0.0,-0.0155,0.0001,0.0,-0.001,-0.0,0.0006,0.0046,0.0,0.0024,-0.0,0.0,0.0,0.0,0.0,-0.0003
2026-08-26,240.0,244.0,236.0,242.0,458800,0.0,0.0,0.0176,-0.0031,0.0,-0.0138,0.0075,-0.0,-0.0048,-0.003,-0.0034,0.003,0.0,0.0,-200.0,0.0,0.0,0.0,-0.0,0.0
2026-08-27,242.0,244.0,234.0,234.0,167000,0.0002,0.0,0.0008,-0.001,0.0,0.0041,-0.0071,0.0004,0.0021,0.0006,-0.0011,-0.01,-0.0001,0.0096,0.0,0.0013,0.0,0.0,0.0,0.0
2026-08-28,242.0,244.0,238.0,242.0,302200,0.0,-0.0033,0.01,0.0029,0.0,0.0,-0.0,-0.0006,0.0227,0.0089,-0.0408,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
