Date,Close,High,Low,Open,Volume,AK,BQ,GR,MG,HP,PG,RO,DR,SQ,OD,DH,XC,YU,KK,AT,SS,LG,PD,AG,AZ,EP,XA,CC,NI,IF,YB,TP,XL,ZP,YP,HD,CP,CD,DX,KI,BK,RS,LS,BR,BB,MI,RF,PC,ES,TF,IN,RB
2026-08-24,625.0,640.0,615.0,635.0,11708500,-1.8,-0.498,0.7646,0.0062,-0.0064,0.3209,0.0,-0.0261,0.0157,0.0488,0.3151,0.0053,0.0,0.1269,-0.0019,0.0645,0.0,0.173,0.0126,0.1979,0.1771,0.1216,0.059,0.0654,0.0124,0.0853,-0.2042,1.3,-0.4455,-0.103,0.0034,-0.7275,0.0,-0.0994,0.0,0.0,0.0039,0.0,0.3125,0.0,0.0188,-0.0013,-0.0345,-0.6077,-0.0024,0.3169,0.0047
2026-08-26,610.0,645.0,610.0,625.0,13941400,-1.4,-0.7532,0.2983,-0.1883,0.0024,-0.0001,0.0006,-0.0716,0.0457,0.0173,0.0775,0.0958,-0.1113,0.04,0.0031,0.0049,0.0287,0.363,-0.6485,-0.0298,0.6861,0.0,0.2689,0.1011,0.0521,0.0058,0.3647,0.0344,-0.0172,-0.1545,-0.0035,-0.1077,-0.273,1.2,0.0019,0.0626,-0.004,0.0,0.3075,-0.3118,-0.0191,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-27,625.0,630.0,610.0,610.0,4668000,-0.0912,0.0,-0.1991,-0.0205,0.0032,0.0,0.0028,-0.0115,0.0064,0.015,0.0031,0.0179,0.0,-0.0485,0.0001,0.0,0.0,0.0227,0.0,-0.0125,0.0802,0.0,-0.1706,-0.041,-0.062,-0.0087,0.3772,0.3495,-0.2326,-0.1084,0.0021,0.1713,0.0,0.0,0.0005,0.0705,-0.0001,-0.1156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,635.0,650.0,625.0,630.0,15066200,-0.8197,0.0044,0.1693,0.0077,0.0011,-0.1609,0.0315,-0.0026,0.0654,0.0808,0.0016,0.104,0.0026,-0.7072,-0.0035,-0.0026,-1.0,0.6545,0.009,-0.0497,-0.0,-0.4473,0.5204,-0.0165,-0.7988,-0.0347,2.5,0.3232,-0.656,0.0505,0.0031,-0.2166,0.0001,-0.2475,-0.0001,0.6226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
