Date,Close,High,Low,Open,Volume,SS,YB,XL,LS,KK,DH,YU,FZ,PO,AI,IF,KI,XA,ZP,YP,PC,CC,DX,MI,BQ,PD,GR,OD,XC,AK,AT,MG,YJ,DR,DP,LG,NI,AZ,CP,EP,AG,BK,RO,SQ,KZ,ID,HP,CD,TP,HD,GI,AO,SA
2026-08-24,55.0,56.0,55.0,56.0,72649100,0.0,-0.1415,-0.091,0.0,0.0116,0.2536,-0.0,0.0,0.0,0.0,-0.0031,-0.8267,0.0017,0.0032,0.3939,0.0,-0.4314,0.0,0.0,0.001,-0.0199,-0.0131,0.0044,-0.048,0.0043,0.0003,0.0,0.0001,0.0095,0.0,-0.0056,0.0202,-0.0726,1.0,0.0519,0.0,0.0,-0.0001,-0.059,0.0,0.0,0.0012,-0.0495,0.0,0.0,0.0,0.0,0.0
2026-08-26,53.0,55.0,53.0,55.0,128064600,0.0,0.0583,0.0878,0.0,0.0225,0.2705,0.007,0.0215,0.0,-0.0467,0.0053,0.0,0.0085,0.035,0.9622,0.054,0.4452,0.0,0.0,0.0053,-0.0033,-0.0432,-0.1878,0.0621,-0.0067,0.0081,0.1759,-0.0163,0.033,0.0,0.0052,0.2413,0.0457,-3.4,0.0358,0.143,-0.2366,0.0,0.036,0.0,0.0,0.0,0.0,-0.0,0.5408,-0.0,0.648,-0.0068
2026-08-27,54.0,55.0,53.0,54.0,79305500,0.0,-0.0003,0.117,0.0,-0.2605,-0.022,-0.0317,-0.0216,0.0,0.0,200.0,-0.0001,0.0057,0.1219,-2.0,1.9,-0.3503,-0.0038,0.0,-0.0019,-0.0878,0.0146,0.0576,0.0142,0.4358,-0.0,0.0,0.0137,0.0019,0.0714,0.0032,0.045,-0.0281,0.1898,0.0138,-0.0011,-0.0997,-0.0022,-0.0054,-0.0065,0.0005,0.0011,-0.0477,0.0,0.0,0.0,0.0,0.0
2026-08-28,54.0,55.0,53.0,54.0,98278800,0.054,-0.0519,0.0202,0.0001,0.0194,-0.0041,0.0,0.0012,-0.0,0.0054,-0.0002,0.0003,-0.0056,-0.1907,-1.6,0.0,-0.0165,-0.0028,0.0041,-0.0051,-0.0278,-0.2117,-0.0053,0.0485,0.019,0.0005,-1.2,-0.0027,-0.0001,-0.0762,-0.2662,-0.1686,-0.0174,3.5,-0.0336,-0.0022,0.1579,0.0003,-0.0407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
