Date,Close,High,Low,Open,Volume,AO,CC,NI,LG,XL,KK,XC,CP,OD,YP,KI,SQ,PD,YJ,BQ,ZP,DH,XA,YU,MG,YB,DR,LS,AZ,IF,IU,RO,RG,QA,EP,AT,GR,HP
2026-08-24,62.0,62.0,61.0,61.0,1036700,0.0,0.0,0.0005,0.0,-0.0026,0.0002,0.0038,-0.0012,-0.0013,0.0025,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,-0.0046,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0011,0.0,0.0
2026-08-26,59.0,62.0,59.0,61.0,3851300,0.0,0.0009,-0.0142,0.0,0.096,-0.0001,0.0099,0.0006,-0.0563,-0.0684,0.0002,0.006,0.0095,0.0,0.0,0.0,0.012,0.0101,0.0,0.0001,-0.0,0.0,0.0,-0.0127,0.0,0.0,0.0002,0.006,0.0,0.0,0.0,0.0,0.0
2026-08-27,62.0,62.0,58.0,60.0,5164600,0.0,0.0065,-0.0005,0.0006,-0.0331,-0.0012,-0.0039,0.0,0.1192,-0.1241,0.0,0.0,0.002,0.0,0.0044,0.0016,-0.0122,-0.01,-0.0,0.0012,-0.0,0.0006,0.0006,0.0589,0.0,0.0012,0.0002,-0.0122,-0.0001,0.0003,0.0,0.0,0.0
2026-08-28,60.0,63.0,60.0,63.0,1442500,0.003,0.0022,0.0018,0.0,0.0053,0.003,0.0028,-0.0005,0.0009,-0.0034,0.0012,-0.0184,-0.0005,0.0002,0.0001,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
