Date,Close,High,Low,Open,Volume,FS,AZ,FZ,HD,ZP,SQ,GR,KI,YP,OD,TP,CP,XL,XA,XC,PD,BK,AK,NI,CC,IF,MG,RO,YB,PG,IN,DR,AG,HP,QA,YU
2026-08-24,434.0,444.0,426.0,444.0,14182300,0.0057,0.0231,0.0,0.0145,0.0122,0.0,-0.0379,0.0,-0.0151,0.8424,0.0502,0.0,0.0022,-0.7372,-0.0012,0.0111,0.1924,0.2578,-0.1409,-0.2112,0.0812,0.0,0.0,0.0,0.0841,0.0,0.0,0.0,0.0,0.0,-0.4333
2026-08-26,430.0,432.0,422.0,430.0,13317100,0.1428,-0.1424,0.0,-0.012,-0.014,0.0003,-0.0033,0.0428,0.014,0.0,0.0005,0.0,-0.0833,-0.022,-0.0049,-0.002,0.0212,-0.3053,0.1979,-0.2106,-0.0399,0.0,0.0,0.0,-0.0011,0.0,-0.0002,-0.0021,-0.0011,-0.0013,0.426
2026-08-27,432.0,434.0,424.0,426.0,20671400,-0.0028,4.1,0.0,1.3,0.0002,0.0,0.2556,0.0,-0.0055,0.0,-0.0048,0.0,0.0221,-5.2,0.002,-0.0004,0.0707,-0.3402,-0.0387,-0.1144,0.0428,0.0065,0.0,0.0044,-0.0566,0.006,0.0005,0.0,0.0,0.0,0.0
2026-08-28,442.0,444.0,428.0,434.0,10717600,-0.1097,-0.1046,0.0034,0.0002,-0.0041,-0.0,-0.1704,-0.0432,-0.0002,-0.0,0.019,0.0048,-0.0147,0.4878,0.0057,-0.0008,0.0181,-0.3644,0.0566,0.2102,0.0125,-0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
