Date,Close,High,Low,Open,Volume,XC,KK,XL,CC,OD,RO,CP,EP,SQ,BQ,PD,AK,DR,YP,MG
2026-08-24,12000.0,12900.0,11175.0,12125.0,6500,0.0122,0.0,0.0126,0.0048,-0.0272,0.0012,0.0036,0.0,-0.0001,0.0006,-0.0069,-0.0012,-0.0001,-0.0002,0.0008
2026-08-26,11750.0,14400.0,11050.0,12000.0,22400,0.019,0.0,0.0024,0.0015,0.0009,-0.0001,-0.0062,-0.0132,0.0,0.0012,-0.0047,-0.0013,0.0024,-0.0006,-0.0012
2026-08-27,12275.0,12750.0,12000.0,12600.0,12700,0.0102,0.0,0.019,-0.0392,0.0077,0.0012,-0.0001,-0.0025,0.0002,0.0048,0.0012,-0.0012,-0.0014,0.0,0.0
2026-08-28,12275.0,12900.0,12000.0,12000.0,2300,-0.0049,0.0025,-0.0014,-0.0037,0.01,-0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
