Date,Close,High,Low,Open,Volume,AK,AD,TP,YB,MG,AT,XL,HD,KK,YJ,DR,HP,LG,DH,QA,NI,DU,IF,XA,KI,YP,AZ,SQ,CP,CC,EP,DX,AG,BQ,PD,GR,XC,OD,IN,RO,ZP,AI,PC,FS,CD,BK,SF,SH,PO,FZ,MU
2026-08-24,224.0,238.0,194.0,195.0,242890400,0.0015,0.0002,0.0714,0.0585,-0.4577,0.0039,0.8472,0.0035,0.0676,-0.0119,-0.0211,0.0,-0.0007,-0.0008,0.0012,-0.0747,0.0,0.0124,0.0501,-0.0002,0.2746,0.0007,0.0886,-0.6562,-0.8917,-0.0026,0.0,0.0093,-0.0272,0.0669,0.0135,0.2395,0.306,0.0,0.0684,-0.0051,-0.0,-0.0,0.0001,0.0,0.0,-0.0017,-0.0448,0.0112,-0.0,-0.0
2026-08-26,224.0,224.0,224.0,224.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-27,191.0,224.0,191.0,208.0,92253400,-0.0015,0.0002,0.0477,-0.0573,0.3536,0.0031,1.3,0.002,-0.0107,-0.0109,-0.0024,0.1729,-0.0032,-0.0,0.0004,0.0823,0.0,0.0,-0.0146,0.0002,0.0573,0.0006,0.0206,-1.8,0.6411,0.005,0.0,-0.0197,0.018,0.0767,-0.0,0.0614,-0.9217,0.0096,-0.0021,0.0,-0.0001,0.0031,-0.0001,0.0002,0.0007,0.0,0.0,0.0,0.0,0.0
2026-08-28,180.0,192.0,177.0,180.0,52024000,0.4762,-0.0,-0.1069,0.0618,0.2307,0.0324,-0.5607,-0.0035,-0.0553,0.0032,-0.0062,-0.171,0.0,-0.006,0.0029,0.0089,0.0002,-0.0183,-0.0617,-0.8377,0.5035,-0.0034,-0.0541,0.2404,-0.2677,-0.0017,0.0014,0.1455,-0.2038,0.1802,0.0017,-0.0003,0.4216,0.0183,-0.0082,0.0379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
