Date,Close,High,Low,Open,Volume,AZ,EP,FZ,HD,SQ,YP,LG,OD,TP,CP,KK,AT,XL,YB,BQ,PD,XC,DH,NI,CC,IF,DR,MG,HP,QA,ZP,GR,KI,XA,PC,YU,DX,RO,AG,ES,DU,CD
2026-08-24,98.0,103.0,92.0,92.0,65773500,-0.0194,0.0208,-200.0,-0.0174,0.0003,-0.1738,-0.0043,0.1659,0.0003,-0.0114,-0.0468,0.0029,0.5096,0.0449,0.0639,0.0836,-0.2302,0.0021,-0.0498,-0.1858,0.0004,0.0047,-0.0065,0.0103,-0.2069,-0.0058,0.0009,0.0019,0.0365,-0.0001,-0.0062,0.0098,0.0137,-0.0081,0.0,-0.0,-0.0003
2026-08-26,91.0,100.0,91.0,100.0,22322800,0.0214,-0.0002,0.3254,0.076,0.0163,0.2283,-0.0001,-0.0213,0.0001,0.0141,-0.0084,0.0008,-0.4804,-0.0868,-0.0266,-0.0718,0.1076,0.0106,-0.0182,-0.1086,-0.0004,-0.002,0.0004,0.0195,0.0053,0.0,0.0082,0.0,-0.0016,0.0002,0.0056,0.0001,-0.0136,0.0,0.0,0.0,0.0
2026-08-27,94.0,95.0,91.0,92.0,7310800,-0.0001,-0.0022,0.0,0.014,-0.0066,-0.0417,0.0092,-0.0121,0.0,0.0055,-0.0064,0.0017,-0.1118,-0.0056,0.0081,-0.0522,0.0501,-0.0058,-0.0065,0.1434,0.0,0.0041,0.0,-0.0093,-0.0001,0.0035,0.02,0.0001,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,92.0,95.0,92.0,95.0,4152400,-0.0008,-0.0023,0.0001,-0.0457,0.007,-0.0001,0.0026,-0.0036,0.0001,0.0082,0.0029,-0.001,0.0901,-0.0039,0.0,0.0063,-0.016,0.001,0.0121,-0.0593,-0.0013,-0.0053,0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
