Date,Close,High,Low,Open,Volume,MG,CC,YP,DX,XL,XC,OD,QA,KI,PD,RO,DR,SQ,YU,AG,YB,CP,AI,DH,NI,KK
2026-08-24,120.0,124.0,113.0,113.0,737900,0.0,-0.0006,-0.0049,-0.0001,-0.0131,0.0239,0.0062,-0.0,0.0,-0.0088,0.0001,-0.0003,-0.0101,-0.0032,0.0003,-0.0003,0.0228,0.0,0.0007,-0.0008,-0.0118
2026-08-26,116.0,125.0,113.0,120.0,228200,-0.0094,0.0007,0.0,0.0,0.0037,0.01,-0.0062,0.0,0.0,0.0,0.0002,0.0,-0.0003,-0.0034,-0.0003,-0.0001,0.0062,-0.0,-0.0011,0.0,0.0
2026-08-27,120.0,123.0,115.0,116.0,233900,0.0,0.007,-0.0001,-0.0,-0.0124,0.0075,0.0002,0.0,0.0,0.0,-0.0001,0.0,-0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,117.0,122.0,117.0,120.0,67400,-0.0056,0.0,0.0,-600.0,0.0052,0.0002,0.0001,-0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
