Date,Close,High,Low,Open,Volume,AK,TP,YB,MG,XL,AT,KZ,KK,YJ,DR,HP,LG,YU,IU,NI,DU,FZ,YP,SQ,AZ,AF,CP,TF,PC,CC,EP,DX,CD,BQ,PD,GR,XC,BK,RO,ZP,SS,HD,LS,SH,DH,IF,AI,XA,KI,BB,OD,AG,ES,ID
2026-08-24,113.0,114.0,111.0,113.0,143979000,1.9,0.026,0.0229,-0.015,-0.842,-0.0,2.0,-0.0136,0.0268,-0.1901,0.0,-0.4401,-1.4,0.0,0.6607,0.0,0.0,-0.1304,0.0466,0.0621,0.0,-0.0347,0.055,-0.0565,-0.5831,0.0788,0.0004,-0.1329,0.0226,0.1001,-0.1387,0.4188,0.0,0.0224,1.5,0.0,-0.0309,0.0011,0.0,-0.0936,0.2234,2.8,0.0199,-0.2252,-5.6,-0.0092,0.0,0.0,0.0006
2026-08-26,107.0,113.0,107.0,112.0,97757200,0.1122,1.7,-0.1231,0.0173,-0.2405,0.0,-4.4,0.1131,0.1176,-0.0982,0.006,-0.1907,0.0227,0.0,0.934,0.0,0.0025,0.3805,0.2451,-0.0417,0.1996,0.3741,0.38,0.0,-0.0725,-0.0098,0.4411,-0.0361,0.0045,-0.2924,0.2624,1.2,0.0296,-0.0001,0.0,0.0,-0.0039,0.0,0.0,0.1141,0.0537,0.0432,-0.0012,0.004,-1.3,-0.011,0.0054,0.0056,0.0
2026-08-27,108.0,110.0,104.0,107.0,98697200,0.0063,0.426,0.0428,0.2068,0.0346,-0.0015,0.0,-0.3025,0.0,-0.0004,-0.0404,0.1084,-0.2318,0.0,0.3636,0.0,0.0025,-0.0481,0.0924,0.0073,0.1498,-0.0154,-0.0616,-0.2234,2.4,-0.0015,-0.0002,0.053,-0.4836,-0.1238,0.3566,-0.229,0.3696,0.0218,-0.5545,0.105,0.0088,-0.001,0.0268,-0.0047,0.216,1.1,0.0026,-0.0033,-3.7,-0.0055,0.0053,0.0,0.0
2026-08-28,105.0,111.0,105.0,108.0,115363600,0.4786,0.5086,0.101,0.124,0.8107,-0.0013,-6.4,-0.2588,0.032,0.0727,-0.0493,-1.0,-0.6775,0.0453,0.6915,0.21,0.0216,0.5636,0.0896,0.0134,0.3996,0.2646,0.2373,-0.007,1.4,0.0169,-0.0192,0.2094,-0.002,0.3134,0.8863,0.1648,0.19,-0.0329,0.5655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
