Date,Close,High,Low,Open,Volume,CC,YP,NI,KK,XL,XC,OD,KI,SQ,PD,OK,BQ,EP,XA,CD,RO,LG,DH,AZ,TP,AT,AK
2026-08-24,1980.0,1990.0,1930.0,1980.0,26400,-0.0074,0.0025,0.0002,0.0019,-0.0041,0.0053,0.0001,0.0004,-0.0074,-0.0023,0.0098,0.0,0.0006,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0004,-0.0002,0.0002
2026-08-26,1975.0,1975.0,1950.0,1975.0,22800,-0.0126,-0.0008,0.0024,-0.0002,0.0049,-0.0062,-0.0047,0.001,0.0021,0.0002,0.0128,0.0002,0.0,0.0,0.0,0.0,0.0004,0.0,0.0002,0.0004,0.0,0.0
2026-08-27,1970.0,1975.0,1945.0,1975.0,25300,-0.0301,-0.0004,0.0,-0.0014,-0.0019,-0.0002,0.0049,0.0,0.0018,-0.0008,0.0275,0.0,0.0,0.0,0.0006,0.0002,-0.0004,0.0002,0.0,0.0,0.0,0.0
2026-08-28,1950.0,1970.0,1950.0,1970.0,10600,-0.0002,0.0068,0.0004,0.0004,-0.0121,-0.001,0.0016,0.0004,-0.0025,0.0008,0.0039,0.0004,0.001,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
