Date,Close,High,Low,Open,Volume,YU,CC,LG,DR,NI,KK,XC,PC,PD,YJ,KZ,IF,DH,SH,RO,YP,DX,XL,CP,OD,QA,KI,SQ,BQ,EP,GR,FZ,AZ,XA,HP,MG,TF,AT,ZP,CD,YB,HD,LS,AK
2026-08-24,438.0,442.0,436.0,442.0,424100,0.0,0.0257,0.0,0.0009,0.0225,0.0012,-0.004,0.0,0.0118,0.0,0.0,0.0,0.0017,0.0,0.0013,-0.0031,0.0318,-0.0108,-0.023,-0.0079,0.0,-0.0045,0.0006,0.0,0.0,-0.0396,0.0,0.0,0.0001,0.0074,-0.01,0.0003,0.0,0.0015,-0.0013,-0.0059,-0.0044,0.0002,0.0074
2026-08-26,434.0,448.0,432.0,438.0,655900,0.0008,-0.0298,0.0002,-0.0004,0.0109,0.0093,0.0173,0.0,0.0105,0.0,0.0,-0.0106,0.0003,0.0,0.0004,0.0001,0.0,0.0333,-0.0216,-0.006,0.0,-0.0043,0.0164,0.0,0.0008,-0.0053,-0.0089,-0.0004,-0.0001,-0.0022,-0.0094,-0.0,-0.0,-0.0013,0.0,0.0,0.0,0.0,0.0
2026-08-27,436.0,442.0,430.0,434.0,475900,0.0012,0.0151,0.0,0.0,0.0013,0.0011,0.0057,-0.0,0.0113,0.0,0.0136,0.0006,-0.0013,0.0,0.0002,0.0178,0.0087,-0.0524,0.0,0.0006,-0.0003,0.0,-0.0647,0.0,-0.0044,0.0399,0.001,0.0003,-800.0,0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,436.0,446.0,434.0,438.0,473800,-0.0001,-0.0039,0.0022,0.0055,-0.0083,-0.0004,0.008,0.0,0.002,-0.0236,0.0004,0.0033,0.0015,0.0001,0.0003,0.0082,0.0088,0.0128,0.0093,-0.0016,-0.0016,0.0007,-0.0149,-0.0045,-0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
