Date,Close,High,Low,Open,Volume,RX,DR,GR,MG,HP,RO,AO,SQ,OD,YJ,KK,YU,AT,LG,PD,AZ,RF,EP,LS,XA,CC,NI,IF,XL,ZP,CD,KI,DP,AK,BQ,RG,DH,XC,TF,AG,IN,KZ,YB,AI,TP,IU,YP,HD,IT,CP,DX,BK,FZ,SF,ZR,BR,BB,ES,AF,GA,MI,FS,ID,SS,IH,QA,PO
2026-08-24,3190.0,3250.0,3180.0,3190.0,114351200,0.0,18.2,0.2388,-10.0,0.4246,0.0,0.0,-2.9,1.1,-1.3,-4.2,19.4,1.5,0.9258,-2.5,-9.2,-3.9,-1.3,-0.4591,-0.2872,-1.1,-12.7,-3.3,-10.6,48.1,0.163,0.3565,0.0,-19.0,2.0,0.0,-0.4689,-2.6,0.0,-1.1,0.6435,-7.0,2.2,0.2016,0.3098,0.0552,0.5677,-0.6388,0.0,5.4,2.0,-13.6,0.2842,0.0,0.4136,-0.9825,4.6,0.0,0.0,-0.644,1.8,-0.2486,0.0,-0.319,0.0,0.0786,0.0641
2026-08-26,3160.0,3290.0,3140.0,3200.0,125424800,6.0,-0.6781,-1.1,6.3,0.9166,0.0,-0.5184,0.6307,-1.1,-0.9435,-0.9827,-0.8284,0.2435,-4.0,-8.5,1.0,-1.9,-3.6,1.6,0.8513,-6.4,-5.4,0.1544,-13.5,-1.8,0.0,0.8533,0.0,-6.1,-1.6,0.024,-1.0,-1.3,0.0,0.164,-2.6,-0.3915,3.9,1.4,3.4,0.0468,14.0,-0.2036,0.0,3.5,0.3187,6.0,0.0,0.0,-0.639,-0.9618,3.3,0.0,0.0,0.0,1.8,0.0,-0.1271,9.8,0.0419,0.0801,0.0
2026-08-27,3180.0,3200.0,3100.0,3100.0,71295100,0.0,3.5,-0.7207,1.8,7.3,0.1935,0.2981,1.5,4.2,0.4385,-0.9227,-0.4678,0.0,-23.6,-2.2,-3.7,1.4,3.9,-0.1958,0.2378,-17.9,0.2231,2.8,13.2,-9.5,-0.0074,0.4368,0.3339,-11.8,-0.3671,0.0,0.2093,3.7,0.0,-0.4869,0.0,0.0,-0.5701,-7.8,20.7,0.1347,1.2,0.2909,0.0,8.6,-0.3261,6.7,-0.0094,0.3065,-0.1302,-0.0071,-0.2377,-0.318,-0.0158,-0.0634,-2.4,-0.0728,0.0,0.0,0.0,0.0,0.0
2026-08-28,3160.0,3180.0,3140.0,3180.0,62500400,-3.1,-6.9,0.217,-10.7,0.6891,-0.0881,0.3307,7.6,6.3,-0.003,1.1,-1.3,-0.0396,2.1,0.1747,1.5,1.8,0.2253,-0.0333,-0.0115,17.8,5.6,-1.7,16.3,-17.5,0.143,0.1069,0.3448,-25.0,-1.5,-0.0294,0.6928,2.9,-0.041,10.5,-0.0316,5.7,2.1,-2.5,6.3,0.0537,-3.5,-0.007,0.079,-0.9222,-1.2,-14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
