Date,Close,High,Low,Open,Volume,CC,NI,LG,YB,XL,RO,XC,PD,DH,MU,OD,IF,YP,SQ,KK
2026-08-24,50.0,50.0,50.0,50.0,771100,0.0007,0.0,0.0,-0.0043,0.0068,0.0001,0.0052,0.0003,0.0,-0.034,0.0,0.0,0.0001,0.0001,0.0252
2026-08-26,50.0,50.0,50.0,50.0,366000,0.0057,0.0001,0.0,-0.0002,0.0036,0.0,0.0088,0.0,0.0,-0.0181,0.0,0.0,0.0,0.0,0.0
2026-08-27,50.0,50.0,50.0,50.0,378000,0.0005,0.0,0.0,-0.0,-0.0009,0.0,-0.0003,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,50.0,50.0,50.0,50.0,81100,0.0,0.0001,0.0,-0.0006,-0.0008,0.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
