Date,Close,High,Low,Open,Volume,DH,YU,NI,AI,YP,AZ,XL,CP,CC,EP,KK,AG,DR,PD,GR,XC,OD,SQ,BQ,RO,PC,PG,AK,SF,AT,HP
2026-08-24,6775.0,6800.0,6725.0,6750.0,118300,0.0007,0.0,0.0283,0.0,-0.0013,-0.0061,-0.0054,0.0,0.0209,-0.0014,0.002,0.0,-0.0459,0.0102,-0.0068,0.0054,0.002,0.0,0.351,-0.023,-0.0271,0.0,-0.2956,-0.0014,-0.0047,-0.002
2026-08-26,6725.0,6800.0,6725.0,6775.0,59100,0.0041,0.0013,0.0088,0.0,0.0,0.002,-0.0329,0.0,0.0034,0.0007,0.0067,0.0,0.0014,0.0074,0.0203,-0.0014,0.0168,-0.0108,0.0,-0.0007,-0.1621,0.135,0.0,0.0,0.0,0.0
2026-08-27,6850.0,6875.0,6650.0,6725.0,123100,0.0,0.0,0.0641,0.0,-0.0048,0.002,-0.0198,0.5138,-0.1018,0.0144,0.0006,0.0,0.0007,-0.0027,0.0038,-0.0144,-0.0047,-0.0116,-0.4047,-0.035,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,6925.0,6925.0,6825.0,6875.0,69500,0.0069,0.069,0.0082,0.0247,0.0283,-0.0007,0.0251,0.02,-0.0208,0.0028,0.0055,0.0104,-0.0007,-0.0034,0.0068,-0.1758,-0.0124,0.0061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
