Date,Close,High,Low,Open,Volume,CC,YP,NI,AT,KK,DR,XC,XL,OD,SQ,KI,PD,EP,XA,YB,BQ,DH,LG,AZ,IF,RO,QA,ZP
2026-08-24,525.0,525.0,515.0,525.0,315600,0.031,0.007,0.0012,0.0,0.0001,-0.0024,0.0025,-0.0835,0.0029,0.0008,0.0001,0.0008,0.0002,0.0,0.0,0.0,0.0,0.0,0.052,0.0001,-0.0127,0.0,0.0
2026-08-26,515.0,530.0,510.0,515.0,278400,0.0228,0.0142,0.0052,-0.0001,-0.0023,0.0028,0.0023,-0.0326,0.0002,0.0027,-0.0001,-0.0279,-0.0003,0.0,0.0005,0.0,0.0114,0.0002,0.0003,-0.0002,0.0005,-0.0001,0.0003
2026-08-27,525.0,525.0,505.0,505.0,213200,-0.0015,0.0031,-0.0074,-0.0001,0.0001,0.0003,0.0001,0.0049,0.001,0.0001,-0.0001,-0.0009,0.0001,0.0,-0.0003,0.0006,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,525.0,525.0,515.0,525.0,77000,0.0033,0.0054,0.0005,0.0002,0.0003,-0.0034,0.0016,-0.0108,0.0002,0.0006,-0.0001,0.0021,-0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
