Date,Close,High,Low,Open,Volume,AZ,AG,BS,EP,ZP,SQ,GR,KI,YP,KZ,YU,LG,MI,OD,TP,CP,KK,XL,YB,BQ,XC,PD,BK,AK,DH,NI,CC,DR,MG,RO,AO,PC,HD,AI,XA,PP
2026-08-24,1265.0,1270.0,1255.0,1260.0,1726700,0.0571,0.0,0.0,0.0,-0.3512,0.8714,0.0001,0.0018,-0.1173,-0.6468,0.0,0.0004,0.0,0.0014,-0.0938,0.1169,0.0235,0.379,0.1004,0.0,0.0074,0.0085,-0.1308,-0.1321,0.0014,0.0011,-0.0679,-0.0136,0.0,-0.0001,-0.0003,-0.014,-0.0027,0.0,0.0,0.0
2026-08-26,1245.0,1265.0,1245.0,1265.0,2573000,0.0139,0.0062,0.0,0.0137,-0.2821,-0.153,0.0795,0.0014,0.078,-0.6518,-0.0664,0.0,0.0,-0.0272,0.6536,0.1312,0.0229,0.4788,-0.1,0.0068,0.1698,0.0934,-0.1427,-0.4083,0.1439,0.1479,-0.2998,0.0558,0.002,0.0006,0.0249,0.0,0.0,0.001,0.0247,-0.0188
2026-08-27,1245.0,1255.0,1240.0,1250.0,5030600,-0.0054,-0.0013,0.0037,-0.0026,-0.3312,0.0995,0.0022,0.0,0.0993,-5.2,0.0,0.9991,0.0403,0.4472,2.4,-0.0211,0.0111,0.6338,-0.0005,0.0137,0.1718,0.1232,-0.0201,-0.0972,0.0004,0.0041,0.4478,0.2165,0.0,0.0,0.0187,0.0002,0.0021,0.0188,0.0,0.0
2026-08-28,1240.0,1255.0,1235.0,1245.0,3309000,0.0635,0.0141,0.0012,0.0371,-0.2875,0.1847,0.036,0.0012,0.4692,-2.7,0.0213,0.0301,0.0025,-0.2503,0.4631,0.004,0.0396,1.1,0.0191,0.0037,0.2483,0.0395,0.0077,-0.0793,-0.0057,0.0443,0.2939,0.1737,0.0236,0.0019,0.0,0.0,0.0,0.0,0.0,0.0
