Date,Close,High,Low,Open,Volume,FS,AZ,QA,ZP,GR,YP,OD,TP,CP,KK,AT,XL,XA,BQ,PD,XC,AK,BK,DH,NI,CC,IF,DR,MG,EP,FZ,SQ,KI,LG,YJ,RO,PC,YB
2026-08-24,137.0,140.0,132.0,135.0,5239000,0.0,-0.0005,0.0004,-0.0143,-0.012,-0.0199,-0.0076,-0.0005,-0.0012,-0.0071,-0.0061,0.0262,0.0001,0.0071,-0.0085,0.0204,-0.0233,-0.052,0.0,-0.0001,0.0612,-0.0,-0.0014,-0.0036,0.0,0.0041,0.0069,-0.0004,0.0331,0.0,-0.0001,0.0,-0.0005
2026-08-26,128.0,141.0,127.0,139.0,6778200,0.0,0.0019,0.0008,-0.0006,0.011,0.0135,0.001,-0.014,-0.008,0.0472,0.0135,0.0591,0.0,-0.0111,0.0147,-0.0229,-0.028,-0.0666,0.0001,-0.0,-0.0468,-0.0007,0.0073,0.0101,0.0008,0.0,0.0073,0.0001,-0.0021,0.0002,0.0119,0.0001,0.0
2026-08-27,135.0,140.0,126.0,126.0,7847600,0.0,0.0,-0.0002,-0.0013,-0.0094,-0.0062,-0.0074,0.002,-0.0045,-0.0164,-0.0115,-0.1642,0.0991,-0.0002,-0.0109,-0.0087,0.0238,0.007,-0.0002,0.0036,0.2142,0.0134,0.0026,-0.0113,-0.0001,-0.0958,0.0006,-0.0006,-0.0055,-0.0001,-0.0117,0.0,0.0
2026-08-28,134.0,138.0,133.0,136.0,1331800,0.0014,0.0001,-0.0004,-0.0028,-0.0021,0.0118,-0.0001,-0.0021,-0.0005,-0.004,-0.0003,-0.0076,0.0051,-0.001,0.0022,-0.0095,-0.0117,-0.0066,-0.0,0.0001,0.0094,0.0124,-0.0013,0.0076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
