Date,Close,High,Low,Open,Volume,XL,SQ,XC,PD,YP,NI,CC,LG,PC,AI,KK,BQ,SH,DR,OD
2026-08-24,900.0,900.0,890.0,895.0,147400,-0.1206,0.0019,0.002,-0.0008,0.0007,0.001,-0.0002,0.0,0.0,0.0,-0.0037,0.0,0.0,0.1197,0.0
2026-08-26,895.0,900.0,880.0,890.0,58300,-0.0022,0.02,-0.0,0.0029,-0.0008,0.0004,-0.0001,0.0,0.0,0.0,-0.0082,-0.0001,-0.0022,-0.004,-0.0055
2026-08-27,895.0,895.0,875.0,890.0,81200,-0.0073,0.0129,0.0027,-0.0059,-0.004,0.0006,-0.0016,0.0,-0.0001,0.0026,0.0,0.0,0.0,0.0,0.0
2026-08-28,880.0,905.0,875.0,895.0,45600,-0.0241,0.0244,0.0004,-0.0001,-0.002,0.0014,0.0009,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
