Date,Close,High,Low,Open,Volume,TP,NI,XA,YP,SQ,XL,HD,CC,EP,DX,KK,YJ,DR,PD,OD,LG,XC,BQ,CP,GR
2026-08-24,228.0,230.0,224.0,230.0,560300,-0.0112,0.0,0.0,-0.0255,-0.0022,0.0328,0.0,-0.0229,-0.0,0.0,0.0002,-0.0263,0.0023,0.0023,0.0052,0.0453,0.0,0.0,0.0,-0.0
2026-08-26,220.0,228.0,220.0,222.0,357000,-0.0106,0.0,0.0,0.02,0.0222,0.0066,0.0001,0.0019,0.0,0.0,-0.0007,-0.0291,0.0022,0.0007,0.0,0.0,-0.0036,0.0001,-0.01,0.0
2026-08-27,222.0,232.0,214.0,230.0,519400,-0.0248,-0.0609,-0.011,-0.0001,-0.0026,0.0053,-0.0001,0.0083,0.0099,0.0,0.0006,0.0603,0.0131,0.0005,-0.0004,0.0,0.0018,0.0001,0.0,0.0
2026-08-28,224.0,232.0,220.0,230.0,526900,-0.0163,-0.0052,-0.0448,-0.0012,-0.0285,0.0041,-0.0,0.0094,0.0007,0.0342,0.0001,0.0452,0.0006,0.0003,-0.0001,-0.0099,0.0115,0.0,0.0,0.0
