Date,Close,High,Low,Open,Volume,SQ,MI,ES,AK,XL,AI,PD,XC
2026-08-24,3390.0,3390.0,3370.0,3380.0,14000,0.0,-0.0176,0.0216,0.0,-0.004,0.0,0.0,0.0
2026-08-26,3390.0,3390.0,3380.0,3390.0,10700,-0.0156,0.017,0.0118,0.0003,0.0,-0.0135,-0.0003,0.0003
2026-08-27,3390.0,3390.0,3380.0,3380.0,11100,0.0064,0.0119,-0.0322,0.002,0.0,0.0119,0.0,0.0
2026-08-28,3390.0,3390.0,3380.0,3380.0,10600,-0.0071,-0.0284,0.0153,0.0003,-0.0003,0.0203,0.0,0.0
