Date,Close,High,Low,Open,Volume,AK,BQ,MG,DR,GR,HP,SQ,OD,DH,MU,XC,KK,YU,LG,PD,AZ,EP,AG,XA,KZ,CC,NI,AI,TP,XL,ZP,YP,YB,HD,IH,CP,QA,CD,GI,DX,BK,AT,IF,DP,KI,RX,RO,BB,RG,BS,IU,PI,YJ,PC,MI
2026-08-24,1415.0,1450.0,1390.0,1440.0,27292400,-2.9,-0.0015,0.0081,0.1456,-0.269,0.0683,0.3469,-0.8241,0.3409,0.0,0.3205,0.3873,-1.3,0.2333,0.0103,0.1617,0.009,0.056,0.0727,-0.1668,-3.0,-0.7016,0.0,0.1284,1.7,-5.8,0.2421,-0.1188,-0.0419,0.0,0.0177,-0.0007,0.0286,0.0,-0.0016,5.7,0.0,-0.0286,0.0,0.0045,5.2,0.0179,-0.0235,-0.0099,0.0,0.0064,-0.0,0.0011,-0.0,0.0049
2026-08-26,1380.0,1425.0,1380.0,1415.0,29307200,-6.3,0.0338,-0.0102,0.8478,0.3046,0.0042,-0.1008,0.3082,-0.2048,0.0,-0.1213,-0.679,5.2,1.0,-1.2,0.0089,0.0143,0.0001,-0.32,0.0,-0.2033,-1.5,0.069,-0.0304,-0.3403,-4.9,-0.1642,0.0237,-0.0008,0.0,0.0106,0.0001,-0.5724,0.0,0.5295,3.2,-0.0005,0.0,0.0,-0.0021,6.6,-0.0142,-1.6,-0.0042,-0.0001,-0.0064,0.0,0.0,0.0,0.0
2026-08-27,1375.0,1395.0,1375.0,1380.0,20056500,-1.7,0.0,0.0777,0.471,-0.015,0.0,0.2192,0.1402,0.1782,0.0,0.4179,0.1334,-1.3,1.5,0.0418,0.0357,0.2691,4.7,0.0,0.0,-5.4,-5.1,0.4929,0.0858,1.5,0.3969,0.4254,0.1372,-0.0001,0.0,0.0217,0.019,0.0182,0.0,0.015,2.7,0.023,0.0414,-0.5647,-0.0613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,1340.0,1395.0,1330.0,1375.0,48088200,-17.9,0.349,0.3454,0.3119,0.1788,-0.0857,1.8,1.1,0.349,0.068,1.8,0.3797,-9.6,1.8,0.2928,0.1099,0.2045,-4.6,-0.0198,7.1,1.5,1.3,0.6408,0.126,6.8,1.9,2.6,-0.1673,-0.001,-1.2,0.197,0.195,-0.0485,-0.0021,-0.8361,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
