Date,Close,High,Low,Open,Volume,PD,HP,NI,SQ,EP,IF,XL,YB,CC,YJ,YP,OD,DH,PG,XC,TP,HD,BQ,DR,YU,AZ,KI,KK,AT,RO,XA,PC,CP
2026-08-24,4810.0,4970.0,4770.0,4780.0,12200,0.0079,0.0,-0.0067,0.0,0.0005,0.0,-0.0172,0.0,0.0041,0.0,0.0019,0.0058,0.0,0.0,-0.0087,0.0005,0.0,0.0,0.0,-0.0019,-0.0005,0.0,0.0,0.0,0.0,0.0,-0.001,0.0153
2026-08-26,4740.0,4820.0,4720.0,4810.0,59900,0.0038,0.0,0.0006,-0.0611,-0.0005,-0.0048,-0.0522,-0.0024,-0.0019,0.0,-0.0033,-0.0048,0.0095,0.0,-0.0028,0.012,0.0005,0.1308,0.0,0.0,0.0,0.0,-0.0234,-0.0005,-0.0005,0.0009,0.0,0.0
2026-08-27,4800.0,4840.0,4650.0,4740.0,50300,-0.0133,0.0,0.169,-0.0502,0.0,-0.0101,-0.0118,-0.0028,0.0168,0.0112,-0.0241,-0.0164,-0.0092,0.0,-0.0137,-0.0024,-0.0,0.0019,-0.0005,0.0029,0.0003,-0.048,0.0005,0.0,0.0,0.0,0.0,0.0
2026-08-28,4770.0,4820.0,4750.0,4800.0,41100,-0.0086,0.0005,0.0312,0.1002,0.0019,-0.0048,-0.0058,-0.1188,0.0192,0.0124,0.0052,-0.0144,-0.0001,-0.0096,-0.0053,-0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
