Date,Close,High,Low,Open,Volume,AG,EP,HD,SQ,GR,YP,AI,YU,OD,MI,TP,KK,XL,YB,BQ,PD,XC,DH,AK,NI,CC,DR,KI,LG,CP,OK,YJ,MG,RO,AZ,HP,QA,FZ,AT
2026-08-24,298.0,306.0,294.0,300.0,984100,0.0,0.0,-0.0,-0.0026,0.0205,0.0514,0.0384,-0.0162,0.0004,0.0059,0.0,0.0084,-0.0313,0.0001,0.0,0.0375,0.0232,0.0002,-0.0012,0.0006,-0.0195,0.0,0.0007,0.0,0.0,-0.118,-0.0004,0.0,-0.0,-0.0015,0.0029,-0.0,0.0012,-0.0007
2026-08-26,294.0,300.0,294.0,300.0,682600,0.0,0.0,0.0003,0.0,0.0,-0.034,0.0,-0.0365,0.0014,0.0,0.0,0.0028,0.0417,0.0,-0.0005,-0.0067,0.0596,0.0,-0.0005,0.0025,-0.0298,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-27,300.0,300.0,294.0,294.0,884200,0.0,0.0001,-0.0002,0.0147,0.0003,0.0362,0.0002,-0.0059,-0.006,0.0,0.0,0.0011,-0.0065,0.0148,0.0048,-0.0103,0.0494,0.0,-0.0005,0.0038,-0.0203,0.0001,0.0017,-0.0309,0.0015,-0.0482,-0.0,0.0001,-0.0002,0.0,0.0,0.0,0.0,0.0
2026-08-28,300.0,306.0,296.0,302.0,696400,-0.0001,0.0031,-0.0,0.0001,0.0005,0.0123,-0.0509,0.0001,0.0007,-0.0029,0.006,0.0591,0.0569,-0.0045,0.0001,0.008,-0.033,0.0075,0.0017,0.0026,-0.0675,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
