Date,Close,High,Low,Open,Volume,AK,TP,YB,XL,KK,HP,AO,LG,DH,YU,QA,NI,XA,ZP,YP,SQ,AZ,CP,CC,EP,BQ,PD,OD,BK,RO,XC,DR,AI,KI,DX,GR,AT,MG,LS,AG,FZ,CD
2026-08-24,132.0,137.0,129.0,137.0,8136400,-0.0403,0.0011,-0.0667,0.25,0.075,0.0001,0.0,0.0013,0.002,-0.0,0.0,0.0076,-0.0053,0.0,0.0274,0.0058,-0.0309,0.0096,-0.0997,0.0014,-0.0328,0.043,0.0034,0.0022,0.0032,0.0161,0.0,0.0,0.0007,0.0,0.0,0.0,0.0098,0.0066,-0.1988,-0.0,0.0082
2026-08-26,120.0,130.0,120.0,130.0,11277600,0.0665,-0.0009,-0.1721,0.1438,0.0775,0.009,0.0037,0.0013,-0.0132,0.0,0.0,0.0076,-0.023,0.021,0.0101,-0.0356,0.0,-0.0007,-0.0446,0.0327,0.0052,-0.0281,-0.005,-0.0542,0.0032,0.0182,0.0001,0.0,0.0006,0.0001,0.0199,0.0126,-0.0068,-0.0065,-0.0426,0.0,0.0
2026-08-27,126.0,131.0,119.0,121.0,10625900,-0.056,0.0001,-0.0357,-0.1476,-0.033,0.0019,-0.0038,0.0038,0.0022,-0.0,0.0015,0.0019,-0.0019,0.0003,0.0086,0.0025,0.0019,0.0018,-0.0384,-0.0207,-0.017,0.3234,0.0143,0.0018,0.0,-0.0138,-0.0001,0.0001,-0.0,-0.0001,0.0023,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,126.0,129.0,124.0,125.0,4822000,-0.0166,-0.0078,-0.0067,-0.0495,0.0357,0.0027,-0.0126,0.0006,0.0015,0.032,-0.0004,-0.0077,0.0009,-0.013,0.047,-0.0066,-0.0,-0.0059,-0.0689,0.0217,0.0023,-0.0091,-0.0035,-0.0098,0.0001,0.0738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
