Date,Close,High,Low,Open,Volume,TP,CP,XL,HP,QA,SQ,XC,PD,DH,YP,YU,CC,NI,LG,DR,RO,YB,OD,KK,XA,KI
2026-08-24,42.0,44.0,42.0,43.0,4254400,0.0001,0.1353,0.0028,0.0,0.0,0.0,0.0013,0.0,0.0008,-0.1476,0.0019,0.0051,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-26,40.0,41.0,40.0,41.0,28146900,0.008,0.6181,0.0149,0.0,0.0,0.0,-0.0,0.0326,0.0,0.3308,0.0206,0.0257,-0.0001,0.0,0.0,-0.041,0.0083,-0.0001,-0.0,-1.0,-0.0
2026-08-27,40.0,41.0,39.0,39.0,16724100,0.0012,0.439,-0.0205,0.0,0.0023,0.0363,-0.0038,0.0193,0.0004,0.0793,-0.5376,0.0067,0.0001,-0.0329,0.0101,0.0,0.0001,0.0001,0.0,0.0,0.0
2026-08-28,41.0,41.0,40.0,40.0,1331800,0.0012,0.0276,-0.0006,0.0,0.0001,-0.0013,0.0034,-0.0021,0.0004,0.008,0.0008,0.0072,-0.0,-0.0004,-0.0041,-0.04,0.0,0.0,0.0,0.0,0.0
