Date,Close,High,Low,Open,Volume,YU,CD,CC,HD,NI,DR,XC,AZ,DU,PI,PC,IH,PD,DH,XA,RO,YP,AT,SA,IN,OD,BR,PG,ZP,AK,RG,YB,KK,GR,SF,IF,IU,XL,CP,SQ,KI,BQ,EP,MG,FZ,DX,LG,AO,HP,QA,BK,OK
2026-08-24,96.0,100.0,95.0,99.0,34095300,-0.0096,0.0999,-0.1555,-0.0,0.0282,0.0508,0.0111,0.0023,-0.0001,-0.0173,-0.0002,-0.0134,-0.0406,0.0042,-0.004,-0.0144,0.0703,-0.0088,-0.0003,-0.0003,0.0011,0.2908,-0.0101,-0.0509,-0.0247,-0.0001,0.0931,-0.0058,-0.365,-0.0077,0.0096,-0.0001,-0.0293,0.0253,-0.0036,0.0051,0.005,0.0049,0.0059,0.0,0.0,-0.0,-0.0099,0.0,0.0001,0.064,0.0
2026-08-26,90.0,97.0,90.0,96.0,61707200,0.0253,0.0,-0.6825,0.0,0.0377,-0.1273,0.1157,-0.0046,-0.0003,0.0005,0.001,0.001,0.0276,0.0186,-0.0102,0.0,-0.0372,0.0018,-0.0002,-0.0004,0.0033,0.2249,0.0005,-0.1336,-0.3151,0.0017,0.1779,-0.0318,0.6774,0.0011,0.0093,0.0012,0.0872,-0.0368,0.0498,0.0077,0.002,0.0048,0.0294,0.0,0.0,0.002,-0.0047,-0.0014,-0.0,-0.1093,-0.0144
2026-08-27,94.0,95.0,86.0,88.0,32204200,-0.0047,0.0,0.2205,-0.0001,-0.2049,0.3376,0.0243,0.0005,-0.0003,0.0433,-0.0001,0.0282,0.0073,0.0005,0.0375,0.0,-0.0181,0.0001,-0.0,-0.0001,-0.006,-0.5001,0.0328,0.1112,0.0278,0.0,-0.0303,0.0199,0.0044,0.0188,-0.0092,0.0,-0.0976,-0.0298,-0.0219,0.0003,-0.0003,-0.0001,-0.001,-0.0028,0.0005,0.0001,-0.0018,-0.0047,-0.0001,0.0186,0.0
2026-08-28,94.0,96.0,93.0,95.0,28699800,-0.0188,-0.1542,0.0159,0.0048,-0.0634,-0.0422,0.0072,0.0114,0.0003,-0.0434,-0.0004,-0.0282,0.0074,0.0024,-0.0373,0.0361,0.0839,0.002,0.0003,0.0191,-0.0001,0.4769,-0.0282,-0.0282,-0.068,0.0003,-0.0171,-0.008,-0.2416,0.0094,-0.0095,-0.0003,0.1128,0.005,0.004,-0.0125,-0.0005,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
