Date,Close,High,Low,Open,Volume,CC,XL,XC,XA
2026-08-24,1490.0,1490.0,1490.0,1490.0,200,0.0,0.0003,0.0,-0.0003
2026-08-26,1490.0,1490.0,1490.0,1490.0,0,,,,
2026-08-27,1490.0,1490.0,1490.0,1490.0,500,-0.0003,0.0004,-0.0001,0.0
2026-08-28,1500.0,1500.0,1500.0,1500.0,100,,,,
