Date,Close,High,Low,Open,Volume,PD,SF,XA,HP,CC,KK,NI,YB,TP,XL,IF,YP,XC,YU,BQ,OD,AZ,MG,DH
2026-08-24,270.0,270.0,268.0,270.0,3800,0.0005,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0,0.0003,0.0002,0.0,0.0,0.0,-0.0008,0.0,0.0,0.0,0.0,0.0
2026-08-26,278.0,288.0,268.0,270.0,191500,0.0009,0.0,-0.0,0.0,-0.0026,0.0,0.0,0.0021,0.0004,-0.003,-0.0001,-0.0011,0.0085,-0.0049,0.0117,0.0001,-0.0003,-0.0117,-0.0001
2026-08-27,284.0,288.0,272.0,278.0,112200,-0.0,0.0,0.0,0.0,-0.0096,0.0,-0.0025,0.0157,0.0035,0.004,0.0,-0.0028,-0.0079,-0.0002,-400.0,-0.0001,0.0,0.0,0.0
2026-08-28,276.0,284.0,274.0,276.0,133700,0.0017,0.0004,-0.0,0.0003,0.0,0.0015,0.0,-0.0203,0.0108,0.0089,-0.0001,-0.0062,0.0011,0.0019,0.0,0.0,0.0,0.0,0.0
