Date,Close,High,Low,Open,Volume,CC,YP,NI,XL,XC,OD,QA,SQ,PD,BQ,AK,EP,DH,XA,RO,KK,BK,GR
2026-08-24,210.0,210.0,206.0,208.0,41500,0.0003,0.0,0.0,-0.0002,0.0024,0.0,0.0,0.0005,0.001,-0.0009,-0.0002,-0.0019,0.0,0.0,0.0005,-0.0015,0.0,0.0
2026-08-26,206.0,210.0,206.0,210.0,88500,0.0,0.0,-0.0,0.0121,-0.0012,0.0021,-0.0001,0.0002,-0.0006,-0.0,0.0,-0.0126,0.0,0.0,0.0,0.0001,-0.0,0.0
2026-08-27,206.0,206.0,204.0,206.0,202900,0.0161,0.0002,0.0,0.0019,-0.0008,0.0,0.0,0.0206,-0.0362,0.0,-0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,204.0,206.0,202.0,206.0,415700,0.0486,0.001,0.001,-0.0131,0.0011,0.0,-0.0,0.0,-0.0479,0.001,-0.0021,0.0082,0.002,0.0001,0.0,0.0,0.0,0.0
