Date,Close,High,Low,Open,Volume,DH,QA,NI,ES,AZ,YP,XL,AT,CC,KK,DX,PD,HP,XC,OD,SQ,YU,HD,ZP,BQ,DR,GR,LS,IF,RO
2026-08-24,182.0,184.0,181.0,183.0,987000,0.0031,0.0001,0.0061,0.0364,0.0052,0.0021,-0.0026,0.0004,0.0026,0.0064,0.0,0.0001,0.0,0.007,0.0356,-0.0874,0.0005,-0.0,0.0,-0.0169,0.0,0.0,0.0,0.0001,0.0011
2026-08-26,181.0,183.0,180.0,182.0,330600,0.0,0.0,0.0001,0.0036,0.0,0.0024,0.0028,0.0014,-0.0067,0.0005,0.0,-0.0008,0.0,0.0061,0.0035,-0.0005,0.0,200.0,0.0001,-0.0014,-0.018,0.007,0.0,0.0,0.0
2026-08-27,183.0,184.0,180.0,181.0,419600,0.0,0.0,0.0025,0.0146,0.0,0.0012,-0.0071,-0.0019,0.0046,-0.0001,0.002,0.0072,0.0,-0.0291,-0.0023,-0.0008,0.0092,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,183.0,184.0,182.0,183.0,381500,-0.0031,0.0001,0.0057,0.0182,-0.0052,-0.0087,0.0052,-200.0,0.0089,0.0001,-0.002,0.0034,0.0,-0.0077,-0.0149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
