Date,Close,High,Low,Open,Volume,AK,YB,MG,XL,AT,HD,KK,DR,HP,DH,YU,IF,NI,XA,KI,YP,SQ,CP,CC,EP,BQ,PD,GR,XC,OD,ZP,PO,RG,AZ
2026-08-24,126.0,129.0,125.0,127.0,484100,-0.002,-0.0026,0.0,0.0423,0.0,-0.0001,-0.006,0.0,0.0,-0.0,0.0,0.0,0.0002,0.0,-0.0023,-0.0008,-0.0023,0.0004,-0.0072,-0.0145,0.0001,-0.001,-0.0003,-0.0026,0.0001,-0.0,0.0,-0.0013,-200.0
2026-08-26,123.0,127.0,123.0,127.0,903400,-0.0042,-0.0029,0.0,0.0424,0.0,0.0004,0.001,0.0013,0.0,-0.0,0.005,0.0,0.0013,0.0002,-0.0003,-0.0021,0.0192,0.0036,-0.006,-0.0278,0.0003,-0.0209,0.0,-0.0138,0.0017,0.0015,0.0,0.0,0.0
2026-08-27,127.0,128.0,122.0,122.0,864600,-0.0005,0.0,0.0,-0.013,0.0,-0.0004,-0.0091,-0.0001,0.0,-0.0009,0.0,0.0,-0.0018,-0.0003,-0.0004,0.0063,0.0377,-0.0025,-0.002,-0.0019,-0.0003,-0.0007,0.0,0.001,0.0015,-0.0126,-0.0001,0.0,0.0
2026-08-28,129.0,138.0,126.0,127.0,5833300,-0.0003,-0.0101,0.0003,0.1032,-0.0034,-0.0002,-0.0016,0.0002,0.0013,-0.0071,-0.0052,0.0002,-0.0052,-0.0001,0.0019,0.0432,-0.1009,-0.002,0.002,-0.0203,0.0003,0.016,0.0111,-0.0415,0.0061,0.0124,0.0,0.0,0.0
