Date,Close,High,Low,Open,Volume,AK,PD,SF,EP,BQ,CC,NI,YB,XL,YP,DH,OD,XC,KK,DR,RO,SQ,AD,LG,KI,AI,TP,RS
2026-08-24,925.0,930.0,910.0,930.0,30300,0.0,-0.0005,0.0,0.001,0.0,-0.0021,0.0041,0.0,-0.008,-0.0097,0.0,-0.0001,-0.0013,-0.0001,-0.0,0.0001,0.0005,0.0,0.0,0.0,0.0074,0.0091,-0.0005
2026-08-26,915.0,935.0,905.0,925.0,69200,0.0001,-0.0003,0.0,-0.0039,-0.0009,-0.0217,0.0016,0.0,-0.012,0.0038,0.0,0.0006,-0.0016,-0.0001,0.0045,0.0,0.0,0.0,0.0,0.0299,0.0,0.0,0.0
2026-08-27,930.0,960.0,890.0,895.0,75600,0.0001,0.0003,0.0,0.0094,-0.0001,0.0044,0.0326,0.0,-0.0245,-0.0004,0.0,-0.001,-0.0221,0.0002,0.0038,-0.0001,-0.0,-0.0018,-0.0009,0.0,0.0,0.0,0.0
2026-08-28,920.0,940.0,900.0,940.0,33200,0.0005,-0.0002,0.0004,0.0072,-0.0,-0.0046,0.0051,-0.0001,-0.0032,0.004,0.0018,0.0001,-0.0117,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
