Date,Close,High,Low,Open,Volume,PD,AZ,BQ,CC,YP,OD,SQ,NI,DR,XC,XL,DH,AT,EP,LG,AK,KK,AO
2026-08-24,1270.0,1270.0,1200.0,1245.0,9000,0.0061,0.0,0.0,-0.0037,0.0,0.0011,0.0,0.0,-0.0001,-0.0034,-0.0019,0.0,0.0,0.0,0.002,-0.0001,0.0001,-0.0001
2026-08-26,1220.0,1270.0,1205.0,1215.0,13600,0.0,0.0,-0.0001,-0.0,0.0001,-0.0009,0.0,0.0012,0.0,-0.0038,0.0034,0.0,-0.0001,0.0001,0.0,0.0,0.0,0.0
2026-08-27,1225.0,1260.0,1205.0,1220.0,3600,0.0,0.0002,0.0,-0.0005,0.0,-0.0006,0.0,-0.0005,0.0,0.0006,0.0003,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-28,1230.0,1310.0,1220.0,1220.0,18500,0.012,0.0006,-0.0003,-0.0007,-0.0,-0.0025,-0.0006,-0.0001,0.0002,0.0004,-0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
